step,fixed_time,frame,input_x,input_y,desired_vx,desired_vy,desired_vz,target_ax,target_ay,target_az,applied_ax,applied_ay,applied_az,grounded,stepped,step_rise,full_rig_acceleration,Player_vx,Player_vy,Player_vz,Player_avx,Player_avy,Player_avz,ChestPhysics_vx,ChestPhysics_vy,ChestPhysics_vz,ChestPhysics_angle_x,ChestPhysics_angle_y,ChestPhysics_angle_z,ChestPhysics_rel_avx,ChestPhysics_rel_avy,ChestPhysics_rel_avz,ThighPhysics_L_vx,ThighPhysics_L_vy,ThighPhysics_L_vz,ThighPhysics_L_angle_x,ThighPhysics_L_angle_y,ThighPhysics_L_angle_z,ThighPhysics_L_rel_avx,ThighPhysics_L_rel_avy,ThighPhysics_L_rel_avz,ThighPhysics_R_vx,ThighPhysics_R_vy,ThighPhysics_R_vz,ThighPhysics_R_angle_x,ThighPhysics_R_angle_y,ThighPhysics_R_angle_z,ThighPhysics_R_rel_avx,ThighPhysics_R_rel_avy,ThighPhysics_R_rel_avz,ShinPhysics_L_vx,ShinPhysics_L_vy,ShinPhysics_L_vz,ShinPhysics_L_angle_x,ShinPhysics_L_angle_y,ShinPhysics_L_angle_z,ShinPhysics_L_rel_avx,ShinPhysics_L_rel_avy,ShinPhysics_L_rel_avz,ShinPhysics_R_vx,ShinPhysics_R_vy,ShinPhysics_R_vz,ShinPhysics_R_angle_x,ShinPhysics_R_angle_y,ShinPhysics_R_angle_z,ShinPhysics_R_rel_avx,ShinPhysics_R_rel_avy,ShinPhysics_R_rel_avz,FootPhysics_L_vx,FootPhysics_L_vy,FootPhysics_L_vz,FootPhysics_L_angle_x,FootPhysics_L_angle_y,FootPhysics_L_angle_z,FootPhysics_L_rel_avx,FootPhysics_L_rel_avy,FootPhysics_L_rel_avz,FootPhysics_R_vx,FootPhysics_R_vy,FootPhysics_R_vz,FootPhysics_R_angle_x,FootPhysics_R_angle_y,FootPhysics_R_angle_z,FootPhysics_R_rel_avx,FootPhysics_R_rel_avy,FootPhysics_R_rel_avz,camera_offset_x,camera_offset_y,camera_offset_z,camera_distance
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5500003,2.13215256,-2.82050323,3.57824159
1,0.0199999929138322,2,0,0,0,0,0,-0.0403742231,0,0.0182626322,0,0,0,0,0,0,1,0.000807484146,-0.17405583,-0.0003652525,0,0,0,0.009857623,-0.1301699,-0.0007003928,0.024248179,-0.00183105469,0.05631886,0.0187213887,-0.002343124,0.0288325232,0.000854112,-0.17396529,-0.0252742171,-0.134613037,-0.006866455,0.00265029375,-0.127504051,-0.005644791,0.00179940776,0.000884377747,-0.17405583,-0.0260984879,-0.132141113,-0.00598144531,0.00275490549,-0.125954971,-0.004887905,0.00188739772,-6.423013E-05,-0.177589625,0.003823428,0.6381655,-0.00561523438,0.0022319206,0.5639726,-0.00528056035,0.002165905,-5.73790931E-05,-0.177677289,0.00381592615,0.6401472,-0.00491333,0.00228514173,0.5659156,-0.00464290846,0.00221556076,-8.97659047E-05,-0.214666039,0.08460981,0.495589942,-0.00341796875,0.0013098066,0.463403046,-0.0039628474,0.00157798454,-0.000108300992,-0.214778081,0.08477558,0.4957767,-0.00305175781,0.00129645923,0.463962018,-0.00356294122,0.0015696889,-0.550032139,2.13567233,2.738815,3.51635313
2,0.0399999858276644,3,0,0,0,0,0,-0.0129940361,0,0.09765431,0,0,0,0,0,0,1,0.000259880617,-0.351888359,-0.00195308554,0,0,0,0.000643655658,-0.3370413,-0.00436450867,0.03097205,-10.8017883,0.0141898785,0.00440500351,0.00164289214,0.009993357,-3.84952873E-05,-0.351839185,-0.0272479169,-0.28729248,-10.8018188,7.58667447E-05,-0.123708025,0.005619535,-0.000911578943,3.259722E-05,-0.351831317,-0.02622247,-0.289794922,-10.7996521,0.0001420334,-0.1237401,0.00646245945,-0.0008780127,0.000262778049,-0.350132644,0.0313427821,1.20368516,-10.80423,0.00230386946,0.6345971,0.00267455261,-0.000584099151,0.000313816185,-0.3501744,0.0311758444,1.20284283,-10.8019409,0.00245924969,0.63159126,0.00395247433,-0.0005356819,8.617058E-05,-0.3878334,0.131433323,1.06553721,-10.806427,0.00260990346,0.5168135,-0.0005656723,0.0009322051,-1.54817826E-07,-0.387876838,0.131162733,1.06541777,-10.8041992,0.00266343378,0.516375363,0.0009890392,0.00102903857,2.30877686,1.826371,-1.65509808,3.37719274
3,0.059999978741496596,3,0,0,0,0,0,-1.49054229,0,0.270984918,0,0,0,0,0,0,1,0.0298108347,-0.5363843,-0.005419696,0,0,0,-0.13906908,-0.5258726,0.0118564572,0.0494371578,-17.5696716,0.9740199,-0.05763546,1.19933379,-0.118724152,-0.2828968,-0.533909261,-0.368455976,0.4357202,-22.4933777,-0.628051758,-2.80003476,-0.140004516,1.97030568,-0.241286919,-0.5391254,0.374297976,-1.3343811,-22.4927063,-0.5398865,2.426925,-0.0622755624,2.17158842,-0.06820111,-0.5260437,-0.02205788,3.16412973,-22.00705,-1.21292114,1.94736469,-0.481416643,-0.73456955,-0.05480312,-0.539110363,0.144403681,0.22063756,-22.01944,-0.988433838,-0.5691482,-0.5125963,-0.922150731,0.1366645,-0.6188528,0.304547936,2.546731,-21.3068542,-1.02548218,1.531358,0.0544072837,-0.738218665,0.11360424,-0.507597148,-0.008934006,0.62868154,-21.3913574,-0.82598877,-0.399587572,-0.0133600915,-0.830716252,2.30778766,1.83708942,-1.65519631,3.38237429
4,0.0799999716553288,3,0,0,0,0,0,-2.5570488,0,0.601544261,0,0,0,0,0,0,1,0.0511409566,-0.7269795,-0.0120308809,0,0,0,-0.184022352,-0.7142631,0.0355816558,-0.0594482422,-20.2822876,1.61651015,-0.0857783258,2.84577012,-0.554162,-0.373811632,-0.7394802,-0.3994316,0.9258454,-30.039856,-1.19818115,-3.650858,-2.39650059,2.47278166,-0.203002185,-0.7486005,0.5210028,-2.115265,-30.0286255,-0.929962158,3.23410034,-2.20585251,2.84010029,-0.174038529,-0.694691837,-0.14013584,5.37828064,-29.9855652,-2.456604,1.92285693,2.54202676,-0.5279224,-0.104278192,-0.709649,0.34098208,-1.33929443,-29.9536438,-1.70956421,-0.61393,2.50557876,-0.8202453,0.0151293427,-0.808647156,0.275939822,4.81255054,-30.2127075,-2.61407471,2.34353781,1.933518,-0.774704933,-0.05316087,-0.6027354,0.0237345546,-0.7354126,-30.34552,-1.86752319,-1.02793574,1.85042214,-1.25635564,2.30618715,1.851635,-1.65521014,3.389214
5,0.099999964569160993,3,0,0,0,0,0,-3.55141258,0,1.12670255,0,0,0,0,0,0,1,0.0710282251,-0.9227902,-0.0225340426,0,0,0,-0.213163555,-0.8892405,0.07317521,-0.2291565,-21.0621033,1.925831,-0.0594600141,3.845284,-0.851909,-0.471160769,-0.949702561,-0.3666516,1.57631528,-30.835144,-1.65737915,-4.0635643,-2.67015314,2.71751356,-0.112454921,-0.9614865,0.633839548,-2.6819458,-30.7972717,-1.51193237,3.60558581,-2.372167,3.222886,-0.220116362,-0.8749546,-0.2120917,7.480617,-31.53418,-3.41348267,1.68068027,8.281956,-0.301125526,-0.0514065064,-0.8939754,0.4984575,-2.850647,-31.4408264,-2.636139,-0.298999041,8.22445,-0.893058956,-0.322695881,-0.962358534,0.111082792,7.259487,-33.17206,-4.28823853,2.33958769,7.354964,-0.416836739,-0.44007203,-0.7603822,0.173243567,-2.27508545,-33.2992554,-3.33883667,-0.9511206,7.25150871,-1.52505183,2.30406451,1.870112,-1.65493774,3.39777136
6,0.11999995748299319,4,0,0,0,0,0,-4.448584,0,1.86089289,0,0,0,0,0,0,1,0.0889716446,-1.12041926,-0.0372178443,0,0,0,-0.236825183,-1.06263232,0.131737173,-0.337036133,-20.5838013,1.9683702,0.007357657,4.71684265,-1.03757715,-0.570570648,-1.16079,-0.281023622,2.51503634,-30.66446,-2.03115845,-4.15155649,-2.4101162,2.768609,0.025663428,-1.173263,0.726166964,-3.08206177,-30.5515137,-2.25308228,3.72392082,-2.10046458,3.41147614,-0.343925536,-1.07227075,-0.2955233,8.804299,-31.2419434,-3.96203613,1.13021147,9.721861,-0.177835822,-0.04394578,-1.08621645,0.6242931,-4.064972,-31.0509033,-3.60128784,-0.125387609,9.711793,-0.725943148,-0.6536381,-1.125862,-0.107199751,9.144673,-32.5266724,-5.228424,1.52918363,9.900145,0.084131,-0.797071457,-0.96427,0.426286429,-3.54470825,-32.64023,-4.84472656,-0.790633857,9.899801,-1.22466338,2.108923,1.72365522,1.91433811,3.329149
7,0.13999995039682539,6,0,0,0,0,0,-5.084903,0,2.73544717,0,0,0,0,0,0,1,0.101698019,-1.31805873,-0.05470892,0,0,0,-0.23579967,-1.2411207,0.195373625,-0.307189941,-13.6264343,1.83050907,0.106810749,5.33130836,-1.12324381,-0.652199566,-1.37276351,-0.189616844,3.43955255,-24.2306213,-2.1953125,-4.22051144,-1.948671,2.62132072,0.165674374,-1.38135028,0.75957185,-3.33096313,-24.01706,-2.90667725,3.54492021,-1.679353,3.51763,-0.5391487,-1.28028309,-0.380082667,9.70089,-24.7171631,-4.02829,0.6527221,10.0205927,-0.009414256,-0.07556193,-1.2874341,0.737246931,-5.04312134,-24.3664551,-4.245636,-0.07000117,10.1052847,-0.3850292,-0.9173529,-1.31583333,-0.21902743,10.4212961,-25.7091675,-5.520813,0.871498942,10.1304388,0.378226042,-0.991838634,-1.18593967,0.7704181,-4.62554932,-25.6488953,-5.90856934,-0.7652566,10.3505688,-0.749965549,2.10739779,1.755424,1.91314209,3.344062
8,0.15999994331065759,6,0,0,0,0,0,-4.950034,0,3.12555027,0,0,0,0,0,0,1,0.09900065,-1.512013,-0.06251098,0,0,0,-0.187063247,-1.44014549,0.197720826,-0.08291626,-4.83612061,1.20776689,0.259196937,4.65063763,-1.03854084,-0.491390169,-1.55539262,-0.112632096,3.67618251,-16.6425781,-2.14666748,-2.740462,-0.361649156,1.47819686,0.208253518,-1.55850208,0.5464804,-3.23565674,-16.3836975,-3.04223633,2.12887,-0.231543422,2.31014657,-0.722539067,-1.53036606,-0.3835134,9.486826,-16.9839478,-3.33535767,-0.4630115,6.712518,0.2529719,-0.134979948,-1.51932847,0.8237456,-5.29483032,-16.440979,-3.87823486,0.241722912,6.98014069,0.6361405,-1.17433846,-1.53761637,-0.264750928,10.4549589,-17.44757,-4.89761353,-0.368640542,6.915696,0.71016264,-0.9132109,-1.47487259,1.16172433,-5.34838867,-16.8829041,-5.76092529,-0.7499277,7.57910252,0.400338531,2.10508776,1.785707,1.91457367,3.359425
9,0.17999993622448979,6,0,0,0,0,0,-4.226584,0,2.77493882,0,0,0,0,0,0,1,0.08453165,-1.7032218,-0.0554987527,0,0,0,-0.135730058,-1.65970433,0.135941237,0.303328931,-0.9891968,0.3087967,0.3377437,2.88756561,-0.7583735,-0.2793464,-1.71949089,-0.1137338,3.19874573,-12.8827515,-1.95962524,-1.00160325,3.47155666,0.434986234,0.101167008,-1.71971309,0.303034157,-2.92514038,-12.6812134,-2.61401367,0.622871935,3.54853535,0.8719238,-0.7693236,-1.77403,-0.3209827,8.238739,-13.1968384,-2.2102356,-1.32463694,3.24948764,0.521410942,-0.169360459,-1.75395727,0.831120968,-4.611786,-12.5985413,-2.49710083,0.7857135,3.51376867,1.51881444,-1.29056358,-1.746718,-0.272639841,9.152607,-13.33783,-3.63882446,-1.51757574,3.35862279,0.9010478,-0.623796,-1.801258,1.35662115,-5.331543,-12.3883362,-4.15115356,-0.241235077,4.02900648,1.64120841,2.10343456,1.81978178,1.915789,3.37732
