step,fixed_time,frame,input_x,input_y,desired_vx,desired_vy,desired_vz,target_ax,target_ay,target_az,applied_ax,applied_ay,applied_az,grounded,stepped,step_rise,full_rig_acceleration,Player_vx,Player_vy,Player_vz,Player_avx,Player_avy,Player_avz,ChestPhysics_vx,ChestPhysics_vy,ChestPhysics_vz,ChestPhysics_angle_x,ChestPhysics_angle_y,ChestPhysics_angle_z,ChestPhysics_rel_avx,ChestPhysics_rel_avy,ChestPhysics_rel_avz,ThighPhysics_L_vx,ThighPhysics_L_vy,ThighPhysics_L_vz,ThighPhysics_L_angle_x,ThighPhysics_L_angle_y,ThighPhysics_L_angle_z,ThighPhysics_L_rel_avx,ThighPhysics_L_rel_avy,ThighPhysics_L_rel_avz,ThighPhysics_R_vx,ThighPhysics_R_vy,ThighPhysics_R_vz,ThighPhysics_R_angle_x,ThighPhysics_R_angle_y,ThighPhysics_R_angle_z,ThighPhysics_R_rel_avx,ThighPhysics_R_rel_avy,ThighPhysics_R_rel_avz,ShinPhysics_L_vx,ShinPhysics_L_vy,ShinPhysics_L_vz,ShinPhysics_L_angle_x,ShinPhysics_L_angle_y,ShinPhysics_L_angle_z,ShinPhysics_L_rel_avx,ShinPhysics_L_rel_avy,ShinPhysics_L_rel_avz,ShinPhysics_R_vx,ShinPhysics_R_vy,ShinPhysics_R_vz,ShinPhysics_R_angle_x,ShinPhysics_R_angle_y,ShinPhysics_R_angle_z,ShinPhysics_R_rel_avx,ShinPhysics_R_rel_avy,ShinPhysics_R_rel_avz,FootPhysics_L_vx,FootPhysics_L_vy,FootPhysics_L_vz,FootPhysics_L_angle_x,FootPhysics_L_angle_y,FootPhysics_L_angle_z,FootPhysics_L_rel_avx,FootPhysics_L_rel_avy,FootPhysics_L_rel_avz,FootPhysics_R_vx,FootPhysics_R_vy,FootPhysics_R_vz,FootPhysics_R_angle_x,FootPhysics_R_angle_y,FootPhysics_R_angle_z,FootPhysics_R_rel_avx,FootPhysics_R_rel_avy,FootPhysics_R_rel_avz,camera_offset_x,camera_offset_y,camera_offset_z,camera_distance
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5500003,2.13215256,-2.82050323,3.57824159
1,0.0199999929138322,2,0,0,0,0,0,-0.0403742231,0,0.0182626322,0,0,0,0,0,0,1,0.000807484146,-0.17405583,-0.0003652525,0,0,0,0.009857623,-0.1301699,-0.0007003928,0.024248179,-0.00183105469,0.05631886,0.0187213887,-0.002343124,0.0288325232,0.000854112,-0.17396529,-0.0252742171,-0.134613037,-0.006866455,0.00265029375,-0.127504051,-0.005644791,0.00179940776,0.000884377747,-0.17405583,-0.0260984879,-0.132141113,-0.00598144531,0.00275490549,-0.125954971,-0.004887905,0.00188739772,-6.423013E-05,-0.177589625,0.003823428,0.6381655,-0.00561523438,0.0022319206,0.5639726,-0.00528056035,0.002165905,-5.73790931E-05,-0.177677289,0.00381592615,0.6401472,-0.00491333,0.00228514173,0.5659156,-0.00464290846,0.00221556076,-8.97659047E-05,-0.214666039,0.08460981,0.495589942,-0.00341796875,0.0013098066,0.463403046,-0.0039628474,0.00157798454,-0.000108300992,-0.214778081,0.08477558,0.4957767,-0.00305175781,0.00129645923,0.463962018,-0.00356294122,0.0015696889,-0.550032139,2.13567233,2.738815,3.51635313
2,0.0399999858276644,3,0,0,0,0,0,-0.0129940361,0,0.09765431,0,0,0,0,0,0,1,0.000259880617,-0.351888359,-0.00195308554,0,0,0,0.000643655658,-0.3370413,-0.00436450867,0.03097205,-0.3617859,0.0141898785,0.00440500351,0.00164289214,0.009993357,-3.84952873E-05,-0.351839185,-0.0272479169,-0.28729248,-0.3618164,7.586716E-05,-0.123708025,0.005619535,-0.000911578943,3.259722E-05,-0.351831317,-0.02622247,-0.289794922,-0.359649658,0.00014203215,-0.1237401,0.00646245945,-0.0008780127,0.000262778049,-0.350132644,0.0313427821,1.203685,-0.3642578,0.00230386434,0.6345971,0.00267455261,-0.000584099151,0.000313816185,-0.3501744,0.0311758444,1.202843,-0.361938477,0.00245925365,0.63159126,0.00395247433,-0.0005356819,8.617058E-05,-0.3878334,0.131433323,1.0655371,-0.366455078,0.00260989764,0.5168135,-0.0005656723,0.0009322051,-1.54817826E-07,-0.387876838,0.131162733,1.06541777,-0.3642273,0.00266342727,0.516375363,0.0009890392,0.00102903857,-0.5327895,2.12770557,2.744661,3.51342583
3,0.059999978741496596,3,0,0,0,0,0,-0.04483134,0,0.183314323,0,0,0,0,0,0,1,0.000896626443,-0.5361729,-0.003666285,0,0,0,-0.00277651846,-0.5293127,-0.00493760454,0.0356056541,-0.354736328,0.0235924367,0.00182397943,0.00692557264,0.024552213,-0.0112072108,-0.5360498,-0.0343818367,-0.354949951,-0.337738037,-0.02658081,-0.164696753,0.0245828442,0.06847219,-0.0111092534,-0.5361817,-0.00376849063,-0.433563232,-0.335174561,-0.0266418457,0.008287625,0.0280625112,0.06748144,-0.0014302216,-0.5317598,0.0525541157,1.84652412,-0.3330078,-0.04333496,0.692780435,0.025639534,-0.0348753743,-0.001346662,-0.5321998,0.0585740469,1.73266506,-0.330505371,-0.0426635742,0.594260931,0.0259069875,-0.0350675434,0.0042553083,-0.56883806,0.163856342,1.684811,-0.324798584,-0.0361022949,0.548172534,0.03380637,-0.0338986963,0.00418094546,-0.564560652,0.151840478,1.61339164,-0.3224182,-0.03527832,0.475324035,0.03400307,-0.0337012559,-0.532820165,2.13841867,2.74472833,3.519981
4,0.0799999716553288,3,0,0,0,0,0,-0.008821974,0,0.249811843,0,0,0,0,0,0,1,0.000176439411,-0.7254362,-0.004996235,0,0,0,0.00262443139,-0.720855057,-0.00566756725,0.0344237834,-0.328613281,-0.00735473633,-0.000789314,0.02527513,0.0305803549,-0.00195305049,-0.7254134,-0.0159644373,-0.4182129,-0.285827637,-0.02508545,-0.05473417,0.04504861,0.009892019,-0.00199627224,-0.725412548,-0.008227304,-0.479034424,-0.282531738,-0.02520752,-0.0163264442,0.0457248241,0.0103114722,-0.00371719361,-0.7203495,0.06720644,2.460227,-0.294647217,-0.0392456055,0.6286391,0.03525526,0.00719315372,-0.003625,-0.7203084,0.0789285,2.31833172,-0.290740967,-0.03918457,0.62859267,0.0362609178,0.00673319725,-0.00361300539,-0.755526543,0.1751585,2.28774834,-0.3109131,-0.0460205078,0.5342749,0.01698757,-0.00438964833,-0.00352750113,-0.7518151,0.177481189,2.154313,-0.306365967,-0.04559326,0.481519848,0.018584691,-0.00519103557,-0.532824934,2.15291834,2.74482584,3.528885
5,0.099999964569160993,4,0,0,0,0,0,0.0031467576,0,0.299458027,0,0,0,0,0,0,1,-6.293513E-05,-0.9184715,-0.005989158,0,0,0,0.00382624567,-0.91295445,-0.00603156257,0.0298502874,-0.301879883,-0.0269775391,-0.00191508362,0.0263833683,0.04351969,-0.000356275938,-0.918493867,-0.00762547,-0.439819336,-0.244140625,-0.0232543945,-0.009471068,0.03611073,0.00200543343,-0.000355243683,-0.918476045,-0.00571687426,-0.486694336,-0.240539551,-0.0234680176,0.002549235,0.036242418,0.00214860728,-0.002635219,-0.912728548,0.0807484,3.05618453,-0.24987793,-0.0307006836,0.594647646,0.0384522974,0.009956216,-0.00258576963,-0.912780344,0.08917629,2.92246652,-0.245880127,-0.0308532715,0.6138725,0.03863062,0.009840802,-0.007678127,-0.944939256,0.182650462,2.85137558,-0.260040283,-0.04196167,0.5046425,0.0437224656,0.012024004,-0.00757985935,-0.944951057,0.193627357,2.70690536,-0.255584717,-0.041809082,0.5031652,0.04370861,0.0116822617,-0.532780647,2.13032579,2.74468756,3.51503253
6,0.11999995748299319,6,0,0,0,0,0,0.004447405,0,0.334195822,0,0,0,0,0,0,1,-8.89480652E-05,-1.11385608,-0.00668391353,0,0,0,0.00397623563,-1.10609293,-0.006220532,0.0229127351,-0.274688721,-0.03527832,-0.00257851253,0.0262994245,0.0491941944,-0.000602739863,-1.11390889,-0.00333630852,-0.429443359,-0.2086792,-0.0205993652,0.0152671169,0.0307629537,0.00346437888,-0.0006015587,-1.11389911,-0.00192438019,-0.4670105,-0.205078125,-0.020904541,0.0251102019,0.0306683965,0.00354462652,-0.00271863071,-1.10763586,0.0885955244,3.63673162,-0.209350586,-0.0226135254,0.56295675,0.03421395,0.009175741,-0.00267876126,-1.10769856,0.09595613,3.52315664,-0.2055664,-0.0228881836,0.5844935,0.0341175161,0.009112586,-0.007413751,-1.13775432,0.188098639,3.38515067,-0.209136963,-0.0322265625,0.487213731,0.0415170826,0.0128810033,-0.007325007,-1.1392405,0.199768111,3.2579658,-0.20513916,-0.03225708,0.505576551,0.04123452,0.0127368411,-0.532779753,2.13750315,2.7447257,3.51941657
7,0.13999995039682539,11,0,0,0,0,0,0.00212808722,0,0.3558996,0,0,0,0,0,0,1,-4.25617254E-05,-1.31025457,-0.00711798947,0,0,0,0.00384264532,-1.30032706,-0.00630447362,0.0149507243,-0.246826172,-0.0347290039,-0.00270210626,0.02618669,0.04912003,-0.000860461034,-1.31032717,-0.0004496905,-0.397094727,-0.1776123,-0.0163269043,0.03232608,0.0269591212,0.00481771026,-0.000863215653,-1.31032252,0.0010024847,-0.426452637,-0.174194336,-0.0166931152,0.04148225,0.0266942717,0.00488360832,-0.00282556121,-1.30374813,0.09234714,4.19848776,-0.176757813,-0.0149230957,0.528305769,0.02788464,0.008353621,-0.00279486342,-1.30373073,0.09914344,4.107199,-0.173248291,-0.0153198242,0.548166156,0.0276729073,0.008310275,-0.00616219,-1.33220184,0.1890669,3.89677143,-0.173309326,-0.021697998,0.473657131,0.0300366748,0.0107633937,-0.00608450174,-1.33375466,0.200015023,3.793961,-0.169677734,-0.0218505859,0.4953585,0.0297608413,0.0106748156,-0.532781243,2.12416124,2.7446444,3.51126623
8,0.15999994331065759,16,0,0,0,0,0,-0.00143770874,0,0.364111423,0,0,0,0,0,0,1,2.87541625E-05,-1.50660479,-0.007282226,0,0,0,0.0036437856,-1.4953146,-0.00631815847,0.007089138,-0.218994141,-0.02798462,-0.002360579,0.0254457053,0.04513365,-0.000869604351,-1.50670421,0.004278558,-0.335906982,-0.150543213,-0.0111694336,0.0571843162,0.0234452449,0.00515863346,-0.0008803968,-1.50669253,0.00437121838,-0.36428833,-0.147583008,-0.0115661621,0.0587733947,0.02299872,0.00517785456,-0.00259029376,-1.50073266,0.09253884,4.67095041,-0.149719238,-0.008026123,0.430744737,0.0232838821,0.00717033446,-0.00257136254,-1.500232,0.09892431,4.63321972,-0.146698,-0.008453369,0.477127552,0.0228867512,0.00723839737,-0.0050538606,-1.52485609,0.17687723,4.3374176,-0.146575928,-0.0121765137,0.4130868,0.0229916275,0.008590459,-0.00497333,-1.52701581,0.191180125,4.28189754,-0.143463135,-0.0124206543,0.455303878,0.0225883238,0.008608494,-0.5327814,2.12453747,2.7446444,3.51149368
9,0.17999993622448979,22,0,0,0,0,0,-0.005300996,0,0.347948045,0,0,0,0,0,0,1,0.000106019877,-1.70215821,-0.006958958,0,0,0,0.003368406,-1.69053459,-0.006127034,0.000535991858,-0.192138672,-0.01763916,-0.00134544889,0.0239576846,0.039045725,-0.000677980541,-1.702297,0.0145817325,-0.217376709,-0.127288818,-0.00598144531,0.107308328,0.02016384,0.00489347428,-0.0007028113,-1.70230293,0.01570804,-0.240661621,-0.1251831,-0.00640869141,0.113609076,0.0193929821,0.004876876,-0.00215457822,-1.69937682,0.0866951942,4.896193,-0.126464844,-0.00201416016,0.191785663,0.0200057551,0.0056312033,-0.002149394,-1.69921458,0.09360889,4.87677526,-0.124298096,-0.00250244141,0.208469853,0.0192514248,0.005622439,-0.004236186,-1.71276677,0.135775447,4.58535433,-0.123931885,-0.003967285,0.236504659,0.01948931,0.00667412672,-0.0041618105,-1.71398342,0.147518128,4.555768,-0.121643066,-0.004272461,0.259403557,0.0187616628,0.00666120835,-0.5327815,2.12364912,2.744638,3.51095128
