step,fixed_time,frame,input_x,input_y,desired_vx,desired_vy,desired_vz,target_ax,target_ay,target_az,applied_ax,applied_ay,applied_az,grounded,stepped,step_rise,full_rig_acceleration,Player_vx,Player_vy,Player_vz,Player_avx,Player_avy,Player_avz,ChestPhysics_vx,ChestPhysics_vy,ChestPhysics_vz,ChestPhysics_angle_x,ChestPhysics_angle_y,ChestPhysics_angle_z,ChestPhysics_rel_avx,ChestPhysics_rel_avy,ChestPhysics_rel_avz,ThighPhysics_L_vx,ThighPhysics_L_vy,ThighPhysics_L_vz,ThighPhysics_L_angle_x,ThighPhysics_L_angle_y,ThighPhysics_L_angle_z,ThighPhysics_L_rel_avx,ThighPhysics_L_rel_avy,ThighPhysics_L_rel_avz,ThighPhysics_R_vx,ThighPhysics_R_vy,ThighPhysics_R_vz,ThighPhysics_R_angle_x,ThighPhysics_R_angle_y,ThighPhysics_R_angle_z,ThighPhysics_R_rel_avx,ThighPhysics_R_rel_avy,ThighPhysics_R_rel_avz,ShinPhysics_L_vx,ShinPhysics_L_vy,ShinPhysics_L_vz,ShinPhysics_L_angle_x,ShinPhysics_L_angle_y,ShinPhysics_L_angle_z,ShinPhysics_L_rel_avx,ShinPhysics_L_rel_avy,ShinPhysics_L_rel_avz,ShinPhysics_R_vx,ShinPhysics_R_vy,ShinPhysics_R_vz,ShinPhysics_R_angle_x,ShinPhysics_R_angle_y,ShinPhysics_R_angle_z,ShinPhysics_R_rel_avx,ShinPhysics_R_rel_avy,ShinPhysics_R_rel_avz,FootPhysics_L_vx,FootPhysics_L_vy,FootPhysics_L_vz,FootPhysics_L_angle_x,FootPhysics_L_angle_y,FootPhysics_L_angle_z,FootPhysics_L_rel_avx,FootPhysics_L_rel_avy,FootPhysics_L_rel_avz,FootPhysics_R_vx,FootPhysics_R_vy,FootPhysics_R_vz,FootPhysics_R_angle_x,FootPhysics_R_angle_y,FootPhysics_R_angle_z,FootPhysics_R_rel_avx,FootPhysics_R_rel_avy,FootPhysics_R_rel_avz,camera_offset_x,camera_offset_y,camera_offset_z,camera_distance
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5500003,2.13215256,-2.82050323,3.57824159
1,0.0199999929138322,2,0,0,0,0,0,-0.0403742231,0,0.0182626322,0,0,0,0,0,0,1,0.000807484146,-0.17405583,-0.0003652525,0,0,0,0.009857623,-0.1301699,-0.0007003928,0.024248179,-0.00183105469,0.05631886,0.0187213887,-0.002343124,0.0288325232,0.000854112,-0.17396529,-0.0252742171,-0.134613037,-0.006866455,0.00265029375,-0.127504051,-0.005644791,0.00179940776,0.000884377747,-0.17405583,-0.0260984879,-0.132141113,-0.00598144531,0.00275490549,-0.125954971,-0.004887905,0.00188739772,-6.423013E-05,-0.177589625,0.003823428,0.6381655,-0.00561523438,0.0022319206,0.5639726,-0.00528056035,0.002165905,-5.73790931E-05,-0.177677289,0.00381592615,0.6401472,-0.00491333,0.00228514173,0.5659156,-0.00464290846,0.00221556076,-8.97659047E-05,-0.214666039,0.08460981,0.495589942,-0.00341796875,0.0013098066,0.463403046,-0.0039628474,0.00157798454,-0.000108300992,-0.214778081,0.08477558,0.4957767,-0.00305175781,0.00129645923,0.463962018,-0.00356294122,0.0015696889,-0.550032139,2.13567233,2.738815,3.51635313
2,0.0399999858276644,3,0,0,0,0,0,-0.0129940361,0,0.09765431,0,0,0,0,0,0,1,0.000259880617,-0.351888359,-0.00195308554,0,0,0,0.000643655658,-0.3370413,-0.00436450867,0.03097205,-10.8017883,0.0141898785,0.00440500351,0.00164289214,0.009993357,-3.84952873E-05,-0.351839185,-0.0272479169,-0.28729248,-10.8018188,7.58667447E-05,-0.123708025,0.005619535,-0.000911578943,3.259722E-05,-0.351831317,-0.02622247,-0.289794922,-10.7996521,0.0001420334,-0.1237401,0.00646245945,-0.0008780127,0.000262778049,-0.350132644,0.0313427821,1.20368516,-10.80423,0.00230386946,0.6345971,0.00267455261,-0.000584099151,0.000313816185,-0.3501744,0.0311758444,1.20284283,-10.8019409,0.00245924969,0.63159126,0.00395247433,-0.0005356819,8.617058E-05,-0.3878334,0.131433323,1.06553721,-10.806427,0.00260990346,0.5168135,-0.0005656723,0.0009322051,-1.54817826E-07,-0.387876838,0.131162733,1.06541777,-10.8041992,0.00266343378,0.516375363,0.0009890392,0.00102903857,1.44130659,3.804919,1.00607181,4.191295
3,0.059999978741496596,3,0,0,0,0,0,-1.49054229,0,0.270984918,0,0,0,0,0,0,1,0.0298108347,-0.5363843,-0.005419696,0,0,0,-0.13906908,-0.5258726,0.0118564572,0.0494371578,-17.5696716,0.9740199,-0.05763546,1.19933379,-0.118724152,-0.2828968,-0.533909261,-0.368455976,0.4357202,-22.4933777,-0.628051758,-2.80003476,-0.140004516,1.97030568,-0.241286919,-0.5391254,0.374297976,-1.3343811,-22.4927063,-0.5398865,2.426925,-0.0622755624,2.17158842,-0.06820111,-0.5260437,-0.02205788,3.16412973,-22.00705,-1.21292114,1.94736469,-0.481416643,-0.73456955,-0.05480312,-0.539110363,0.144403681,0.22063756,-22.01944,-0.988433838,-0.5691482,-0.5125963,-0.922150731,0.1366645,-0.6188528,0.304547936,2.546731,-21.3068542,-1.02548218,1.531358,0.0544072837,-0.738218665,0.11360424,-0.507597148,-0.008934006,0.62868154,-21.3913574,-0.82598877,-0.399587572,-0.0133600915,-0.830716252,1.44031763,3.81563759,1.00597358,4.200665
4,0.0799999716553288,3,0,0,0,0,0,-2.5570488,0,0.601544261,0,0,0,0,0,0,1,0.0511409566,-0.7269795,-0.0120308809,0,0,0,-0.184022352,-0.7142631,0.0355816558,-0.0594482422,-20.2822876,1.61651015,-0.0857783258,2.84577012,-0.554162,-0.373811632,-0.7394802,-0.3994316,0.9258454,-30.039856,-1.19818115,-3.650858,-2.39650059,2.47278166,-0.203002185,-0.7486005,0.5210028,-2.115265,-30.0286255,-0.929962158,3.23410034,-2.20585251,2.84010029,-0.174038529,-0.694691837,-0.14013584,5.37828064,-29.9855652,-2.456604,1.92285693,2.54202676,-0.5279224,-0.104278192,-0.709649,0.34098208,-1.33929443,-29.9536438,-1.70956421,-0.61393,2.50557876,-0.8202453,0.0151293427,-0.808647156,0.275939822,4.81255054,-30.2127075,-2.61407471,2.34353781,1.933518,-0.774704933,-0.05316087,-0.6027354,0.0237345546,-0.7354126,-30.34552,-1.86752319,-1.02793574,1.85042214,-1.25635564,1.438717,3.830183,1.00595975,4.2133317
5,0.099999964569160993,3,0,0,0,0,0,-3.55141258,0,1.12670255,0,0,0,0,0,0,1,0.0710282251,-0.9227902,-0.0225340426,0,0,0,-0.213163555,-0.8892405,0.07317521,-0.2291565,-21.0621033,1.925831,-0.0594600141,3.845284,-0.851909,-0.471160769,-0.949702561,-0.3666516,1.57631528,-30.835144,-1.65737915,-4.0635643,-2.67015314,2.71751356,-0.112454921,-0.9614865,0.633839548,-2.6819458,-30.7972717,-1.51193237,3.60558581,-2.372167,3.222886,-0.220116362,-0.8749546,-0.2120917,7.480617,-31.53418,-3.41348267,1.68068027,8.281956,-0.301125526,-0.0514065064,-0.8939754,0.4984575,-2.850647,-31.4408264,-2.636139,-0.298999041,8.22445,-0.893058956,-0.322695881,-0.962358534,0.111082792,7.259487,-33.17206,-4.28823853,2.33958769,7.354964,-0.416836739,-0.44007203,-0.7603822,0.173243567,-2.27508545,-33.2992554,-3.33883667,-0.9511206,7.25150871,-1.52505183,1.43659437,3.84866,1.00623214,4.229479
6,0.11999995748299319,3,0,0,0,0,0,-4.448584,0,1.86089289,0,0,0,0,0,0,1,0.0889716446,-1.12041926,-0.0372178443,0,0,0,-0.236825183,-1.06263232,0.131737173,-0.337036133,-20.5838013,1.9683702,0.007357657,4.71684265,-1.03757715,-0.570570648,-1.16079,-0.281023622,2.51503634,-30.66446,-2.03115845,-4.15155649,-2.4101162,2.768609,0.025663428,-1.173263,0.726166964,-3.08206177,-30.5515137,-2.25308228,3.72392082,-2.10046458,3.41147614,-0.343925536,-1.07227075,-0.2955233,8.804299,-31.2419434,-3.96203613,1.13021147,9.721861,-0.177835822,-0.04394578,-1.08621645,0.6242931,-4.064972,-31.0509033,-3.60128784,-0.125387609,9.711793,-0.725943148,-0.6536381,-1.125862,-0.107199751,9.144673,-32.5266724,-5.228424,1.52918363,9.900145,0.084131,-0.797071457,-0.96427,0.426286429,-3.54470825,-32.64023,-4.84472656,-0.790633857,9.899801,-1.22466338,1.4340837,3.87110519,1.00695872,4.249237
7,0.13999995039682539,3,0,0,0,0,0,-5.084903,0,2.73544717,0,0,0,0,0,0,1,0.101698019,-1.31805873,-0.05470892,0,0,0,-0.23579967,-1.2411207,0.195373625,-0.307189941,-19.5063477,1.83050907,0.106810749,5.33130836,-1.12324381,-0.652199566,-1.37276351,-0.189616844,3.43955183,-30.1105347,-2.1953125,-4.22051144,-1.948671,2.62132072,0.165674374,-1.38135028,0.75957185,-3.33096313,-29.8969421,-2.90667725,3.54492021,-1.679353,3.51763,-0.5391487,-1.28028309,-0.380082667,9.70089,-30.5970459,-4.02829,0.6527221,10.0205927,-0.009414256,-0.07556193,-1.2874341,0.737246931,-5.04312134,-30.2463684,-4.245636,-0.07000117,10.1052847,-0.3850292,-0.9173529,-1.31583333,-0.21902743,10.4212952,-31.58908,-5.520813,0.871498942,10.1304388,0.378226042,-0.991838634,-1.18593967,0.7704181,-4.62554932,-31.5288086,-5.90856934,-0.7652566,10.3505688,-0.749965549,1.43136871,3.89751816,1.00819981,4.272696
8,0.15999994331065759,4,0,0,0,0,0,-5.350347,0,3.721261,0,0,0,0,0,0,1,0.1070069,-1.51515627,-0.07442519,0,0,0,-0.209174767,-1.42517579,0.25325036,-0.112518311,-18.3375549,1.62858248,0.213879049,5.6576376,-1.1261251,-0.711574,-1.581409,-0.09100738,4.10853624,-29.486084,-2.18286133,-4.29159546,-1.47611725,2.38868523,0.294286162,-1.58531988,0.747190654,-3.52880859,-29.1828918,-3.33795166,3.23849154,-1.27045834,3.58751,-0.7336881,-1.49739122,-0.407514185,10.1411219,-29.9760742,-3.85647583,0.215169936,9.999047,0.0381525457,-0.08305064,-1.49405313,0.851016641,-5.905182,-29.4708557,-4.52734375,-0.07349934,10.1215982,-0.0450006574,-1.13325489,-1.51453674,-0.244005218,11.0484238,-30.8990173,-5.49908447,0.3056181,9.960479,0.3998858,-1.04372,-1.4079144,1.13461685,-5.61749268,-30.6115417,-6.467041,-0.8260071,10.2825155,-0.340965867,1.60542321,3.908924,-0.182789713,4.22971439
9,0.17999993622448979,4,0,0,0,0,0,-5.21700144,0,4.743324,0,0,0,0,0,0,1,0.104339987,-1.71144986,-0.09486644,0,0,0,-0.1630045,-1.61386025,0.299140871,0.222102672,-17.3755188,1.45154989,0.30368197,5.750882,-1.078538,-0.7414025,-1.78477478,0.0170471147,4.459105,-28.9523315,-2.10891724,-4.338997,-1.08980012,2.14236736,0.412213534,-1.78631318,0.700593352,-3.75787354,-28.5922546,-3.53945923,2.93027949,-0.944627762,3.629902,-0.8975241,-1.71436691,-0.375122279,10.1924448,-29.4636536,-3.667328,-0.116356552,9.899537,-0.02845876,-0.04245007,-1.69877315,0.954707742,-6.77545166,-28.8368835,-4.520691,-0.125510782,10.0173807,0.216539249,-1.30188,-1.71457207,-0.192149431,11.1221542,-30.3869934,-5.41546631,-0.114087388,9.827589,0.2699959,-0.972646,-1.61768329,1.47857165,-6.61080933,-29.8875732,-6.608429,-0.942009747,10.16929,-0.052099824,1.60286188,3.94322085,-0.180508822,4.26036835
