step,fixed_time,frame,input_x,input_y,desired_vx,desired_vy,desired_vz,target_ax,target_ay,target_az,applied_ax,applied_ay,applied_az,grounded,stepped,step_rise,full_rig_acceleration,Player_vx,Player_vy,Player_vz,Player_avx,Player_avy,Player_avz,ChestPhysics_vx,ChestPhysics_vy,ChestPhysics_vz,ChestPhysics_angle_x,ChestPhysics_angle_y,ChestPhysics_angle_z,ChestPhysics_rel_avx,ChestPhysics_rel_avy,ChestPhysics_rel_avz,ThighPhysics_L_vx,ThighPhysics_L_vy,ThighPhysics_L_vz,ThighPhysics_L_angle_x,ThighPhysics_L_angle_y,ThighPhysics_L_angle_z,ThighPhysics_L_rel_avx,ThighPhysics_L_rel_avy,ThighPhysics_L_rel_avz,ThighPhysics_R_vx,ThighPhysics_R_vy,ThighPhysics_R_vz,ThighPhysics_R_angle_x,ThighPhysics_R_angle_y,ThighPhysics_R_angle_z,ThighPhysics_R_rel_avx,ThighPhysics_R_rel_avy,ThighPhysics_R_rel_avz,ShinPhysics_L_vx,ShinPhysics_L_vy,ShinPhysics_L_vz,ShinPhysics_L_angle_x,ShinPhysics_L_angle_y,ShinPhysics_L_angle_z,ShinPhysics_L_rel_avx,ShinPhysics_L_rel_avy,ShinPhysics_L_rel_avz,ShinPhysics_R_vx,ShinPhysics_R_vy,ShinPhysics_R_vz,ShinPhysics_R_angle_x,ShinPhysics_R_angle_y,ShinPhysics_R_angle_z,ShinPhysics_R_rel_avx,ShinPhysics_R_rel_avy,ShinPhysics_R_rel_avz,FootPhysics_L_vx,FootPhysics_L_vy,FootPhysics_L_vz,FootPhysics_L_angle_x,FootPhysics_L_angle_y,FootPhysics_L_angle_z,FootPhysics_L_rel_avx,FootPhysics_L_rel_avy,FootPhysics_L_rel_avz,FootPhysics_R_vx,FootPhysics_R_vy,FootPhysics_R_vz,FootPhysics_R_angle_x,FootPhysics_R_angle_y,FootPhysics_R_angle_z,FootPhysics_R_rel_avx,FootPhysics_R_rel_avy,FootPhysics_R_rel_avz,camera_offset_x,camera_offset_y,camera_offset_z,camera_distance
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5500003,2.13215256,-2.82050323,3.57824159
1,0.0199999929138322,2,0,0,0,0,0,-0.0403742231,0,0.0182626322,0,0,0,0,0,0,1,0.000807484146,-0.17405583,-0.0003652525,0,0,0,0.009857623,-0.1301699,-0.0007003928,0.024248179,-0.00183105469,0.05631886,0.0187213887,-0.002343124,0.0288325232,0.000854112,-0.17396529,-0.0252742171,-0.134613037,-0.006866455,0.00265029375,-0.127504051,-0.005644791,0.00179940776,0.000884377747,-0.17405583,-0.0260984879,-0.132141113,-0.00598144531,0.00275490549,-0.125954971,-0.004887905,0.00188739772,-6.423013E-05,-0.177589625,0.003823428,0.6381655,-0.00561523438,0.0022319206,0.5639726,-0.00528056035,0.002165905,-5.73790931E-05,-0.177677289,0.00381592615,0.6401472,-0.00491333,0.00228514173,0.5659156,-0.00464290846,0.00221556076,-8.97659047E-05,-0.214666039,0.08460981,0.495589942,-0.00341796875,0.0013098066,0.463403046,-0.0039628474,0.00157798454,-0.000108300992,-0.214778081,0.08477558,0.4957767,-0.00305175781,0.00129645923,0.463962018,-0.00356294122,0.0015696889,-0.550032139,2.13567233,2.738815,3.51635313
2,0.0399999858276644,3,0,0,0,0,0,-0.0129940361,0,0.09765431,0,0,0,0,0,0,1,0.000259880617,-0.351888359,-0.00195308554,0,0,0,0.000643655658,-0.3370413,-0.00436450867,0.03097205,10.7982035,0.01418988,0.00440500351,0.00164289214,0.009993357,-3.84952873E-05,-0.351839185,-0.0272479169,-0.28729248,10.7981682,7.58684E-05,-0.123708025,0.005619535,-0.000911578943,3.259722E-05,-0.351831317,-0.02622247,-0.289794922,10.80034,0.000142033387,-0.1237401,0.00646245945,-0.0008780127,0.000262778049,-0.350132644,0.0313427821,1.20368516,10.7957478,0.00230386248,0.6345971,0.00267455261,-0.000584099151,0.000313816185,-0.3501744,0.0311758444,1.20284259,10.7980471,0.00245925016,0.63159126,0.00395247433,-0.0005356819,8.617058E-05,-0.3878334,0.131433323,1.06553721,10.7935514,0.002609897,0.5168135,-0.0005656723,0.0009322051,-1.54817826E-07,-0.387876838,0.131162733,1.06541789,10.7957687,0.00266343378,0.516375363,0.0009890392,0.00102903857,-0.9528903,3.78020287,1.51397669,4.18211174
3,0.059999978741496596,3,0,0,0,0,0,1.53623819,0,0.2390584,0,0,0,0,0,0,1,-0.03072475,-0.536040545,-0.004781166,0,0,0,0.148989916,-0.5325477,-0.0174007919,0.07593797,10.2487164,-1.01858521,0.0133818183,-1.1946373,0.15209423,0.243038014,-0.5388459,0.358912438,-1.28488159,15.16789,0.543006837,2.446908,0.151255935,-2.21743321,0.2861081,-0.5335271,-0.383470476,0.48001045,15.1878223,0.6410517,-2.78740716,0.0660912246,-1.92881656,0.05589484,-0.5387532,0.143881142,0.2571818,14.6799717,1.00487947,-0.5327976,0.5043583,0.92627126,0.06848327,-0.5255564,-0.0227161162,3.201855,14.712883,1.215635,1.98426974,0.5020349,0.7303494,-0.113615751,-0.5084427,-0.00544828176,0.6443109,14.0355406,0.845487952,-0.3797355,-0.00411342876,0.838225543,-0.137105137,-0.6196151,0.3082081,2.563802,14.0230789,1.02172649,1.55027986,-0.0214689337,0.7296356,-0.951964438,3.79091334,1.51433969,4.191716
4,0.0799999716553288,3,0,0,0,0,0,1.75769329,0,0.43189,0,0,0,0,0,0,1,-0.03515385,-0.7262498,-0.008637797,0,0,0,0.129696608,-0.72097975,-0.00156075694,0.0231396481,5.953801,-1.130188,0.0464469343,-1.70253742,0.5177919,0.101436228,-0.736909,0.2501552,-1.49264526,14.6678638,0.6391744,1.666901,-1.00299358,-1.31980217,0.177333742,-0.732223868,-0.234953851,0.5255703,14.6726208,0.8635606,-1.77583432,-1.05064154,-1.20764577,0.123410307,-0.714885354,0.273712337,-0.2536621,14.5778236,1.11608851,0.08974248,-0.155135542,0.08726686,0.162275091,-0.7073604,-0.103661731,4.676742,14.6406164,1.58136177,1.10796654,-0.151888818,0.06873047,0.03079047,-0.657120466,0.140214831,-0.06161499,14.6585932,1.23521614,-0.578875,0.3743987,0.4688595,0.0158204883,-0.7955799,0.203268856,4.29047966,14.7087288,1.711784,1.60679567,0.400678933,0.250228643,-0.951081,3.80544019,1.51471519,4.204794
5,0.099999964569160993,3,0,0,0,0,0,1.52234423,0,0.490310878,0,0,0,0,0,0,1,-0.0304468721,-0.9189545,-0.009806214,0,0,0,0.08675607,-0.908802152,0.007132927,0.0140651744,3.703604,-0.761688232,0.0489266962,-1.2013967,0.528491735,0.0246791169,-0.9235154,0.117010653,-1.37106323,12.8744688,0.647645831,0.6515715,-1.81714737,-0.436385036,0.06346288,-0.921564043,-0.108489946,0.410856575,12.8683424,0.864436269,-0.630477,-1.82710171,-0.4134524,0.0931953043,-0.9167765,0.2810371,0.09106066,13.1067371,0.948790669,0.6886842,-1.38845038,-0.292613566,0.144896969,-0.911033869,-0.08220797,5.495595,13.1951828,1.32174444,0.458500266,-1.35201037,-0.3104242,0.200895026,-0.913601458,0.3317203,-0.150726318,13.6024551,1.286387,-0.00113421865,-1.0810535,-0.09445724,0.238816828,-0.9599346,0.0533366054,5.36487055,13.7809525,1.784165,0.7888161,-0.987793744,-0.3168674,-0.95040834,3.82381749,1.514968,4.221372
6,0.11999995748299319,3,0,0,0,0,0,1.28553855,0,0.47661072,0,0,0,0,0,0,1,-0.0257107615,-1.11362731,-0.00953221,0,0,0,0.06212028,-1.10406077,0.006456941,0.0303852241,2.62933421,-0.4131775,0.0418660343,-0.7518192,0.384895235,0.0110984836,-1.11522782,0.07263876,-1.22384644,10.7067022,0.6407797,0.260604322,-1.979898,-0.147485852,0.0365665965,-1.11438525,-0.0515511855,0.4087154,10.70197,0.8023123,-0.142592341,-1.9769187,-0.176464692,0.07093399,-1.11450338,0.263127834,0.9124792,10.9104919,0.7644791,0.8829326,-1.9359827,-0.3514202,0.1172827,-1.11455631,-0.05955428,5.56016064,10.97014,0.9620601,-0.0414943248,-1.93372321,-0.2903188,0.268752038,-1.16161764,0.413937181,0.447639555,11.2248106,1.16240847,0.5641261,-2.04951167,-0.3636638,0.3274159,-1.12593448,-0.05128499,5.600625,11.3371477,1.45576155,0.04550618,-2.069344,-0.454118133,-0.9498706,3.846086,1.51514876,4.24149847
7,0.13999995039682539,3,0,0,0,0,0,1.05944526,0,0.4262032,0,0,0,0,0,0,1,-0.021188898,-1.31005979,-0.00852406,0,0,0,0.04392878,-1.29888773,0.0034491187,0.0387399048,1.7241317,-0.13180542,0.02958168,-0.775524139,0.284335,0.006750839,-1.31066561,0.0420700535,-1.02404785,8.749421,0.5561987,0.104448251,-1.73086512,-0.06605646,0.0211541243,-1.31029749,-0.0248685069,0.38969025,8.746691,0.6399384,0.008548593,-1.72386718,-0.102592021,0.06822548,-1.30942488,0.246755674,1.93958569,8.826356,0.5190417,0.9251067,-1.79529965,-0.382234275,0.108224757,-1.31319451,-0.0601252429,5.446048,8.851265,0.5808741,-0.151722014,-1.79826224,-0.300017059,0.259059131,-1.37368035,0.437941849,1.38911283,8.865599,0.8597485,0.8171515,-1.98562956,-0.469729543,0.3186848,-1.30825746,-0.08442651,5.4876976,8.893493,0.965944469,-0.203559861,-2.01043153,-0.446198344,-0.9494412,3.872284,1.51529491,4.26522446
8,0.15999994331065759,3,0,0,0,0,0,0.8702406,0,0.389602184,0,0,0,0,0,0,1,-0.0174048059,-1.50661945,-0.00779204071,0,0,0,0.0320729166,-1.49375546,0.00280079967,0.0466803573,0.90189904,0.0819184557,0.0214572288,-0.6821867,0.207367539,0.0129559133,-1.50699091,0.036756292,-0.836792,7.068745,0.4164076,0.0560402125,-1.48502529,-0.07215589,0.0243606381,-1.50677347,-0.0226666331,0.335537583,7.06928062,0.4454895,0.0168610923,-1.47733784,-0.09159752,0.0646819249,-1.50268674,0.228989989,2.96278381,7.08049536,0.263299,0.8574714,-1.50530672,-0.344798744,0.09830205,-1.5093534,-0.0585575327,5.302247,7.090234,0.265649229,-0.1552915,-1.50273848,-0.250151515,0.2112785,-1.56569278,0.425679028,2.41019464,6.991696,0.483075857,0.8718179,-1.59576154,-0.443140566,0.264784038,-1.49834979,-0.08141086,5.2471633,6.98942947,0.5032993,-0.24488686,-1.59718275,-0.352327883,-0.9490905,3.90241575,1.51542342,4.292567
9,0.17999993622448979,3,0,0,0,0,0,0.6906583,0,0.36039108,0,0,0,0,0,0,1,-0.01381316,-1.70226574,-0.007207819,0,0,0,0.0227733627,-1.68932819,0.00182762323,0.0527941436,0.2105568,0.2402426,0.0147901531,-0.5657244,0.144886419,0.0166124646,-1.70253539,0.03475877,-0.658081055,5.66187429,0.245825931,0.0415735841,-1.24242091,-0.08031437,0.0255614948,-1.702366,-0.02223555,0.250882,5.665497,0.248330027,0.008072628,-1.2360245,-0.07980449,0.0544743165,-1.69563937,0.2121879,3.91765356,5.65231562,0.0321795531,0.7726433,-1.23279035,-0.2890145,0.08338605,-1.70402253,-0.05329768,5.165892,5.659336,0.0256426614,-0.1197261,-1.22751892,-0.196673736,0.158051446,-1.7510705,0.39586103,3.384205,5.53753757,0.126219139,0.834237,-1.24988937,-0.357457727,0.20629178,-1.69225788,-0.06984234,4.987568,5.539581,0.133150339,-0.216278613,-1.23964953,-0.246569335,-0.9488128,3.936462,1.51554084,4.323522
