step,fixed_time,frame,input_x,input_y,desired_vx,desired_vy,desired_vz,target_ax,target_ay,target_az,applied_ax,applied_ay,applied_az,grounded,stepped,step_rise,full_rig_acceleration,Player_vx,Player_vy,Player_vz,Player_avx,Player_avy,Player_avz,ChestPhysics_vx,ChestPhysics_vy,ChestPhysics_vz,ChestPhysics_angle_x,ChestPhysics_angle_y,ChestPhysics_angle_z,ChestPhysics_rel_avx,ChestPhysics_rel_avy,ChestPhysics_rel_avz,ThighPhysics_L_vx,ThighPhysics_L_vy,ThighPhysics_L_vz,ThighPhysics_L_angle_x,ThighPhysics_L_angle_y,ThighPhysics_L_angle_z,ThighPhysics_L_rel_avx,ThighPhysics_L_rel_avy,ThighPhysics_L_rel_avz,ThighPhysics_R_vx,ThighPhysics_R_vy,ThighPhysics_R_vz,ThighPhysics_R_angle_x,ThighPhysics_R_angle_y,ThighPhysics_R_angle_z,ThighPhysics_R_rel_avx,ThighPhysics_R_rel_avy,ThighPhysics_R_rel_avz,ShinPhysics_L_vx,ShinPhysics_L_vy,ShinPhysics_L_vz,ShinPhysics_L_angle_x,ShinPhysics_L_angle_y,ShinPhysics_L_angle_z,ShinPhysics_L_rel_avx,ShinPhysics_L_rel_avy,ShinPhysics_L_rel_avz,ShinPhysics_R_vx,ShinPhysics_R_vy,ShinPhysics_R_vz,ShinPhysics_R_angle_x,ShinPhysics_R_angle_y,ShinPhysics_R_angle_z,ShinPhysics_R_rel_avx,ShinPhysics_R_rel_avy,ShinPhysics_R_rel_avz,FootPhysics_L_vx,FootPhysics_L_vy,FootPhysics_L_vz,FootPhysics_L_angle_x,FootPhysics_L_angle_y,FootPhysics_L_angle_z,FootPhysics_L_rel_avx,FootPhysics_L_rel_avy,FootPhysics_L_rel_avz,FootPhysics_R_vx,FootPhysics_R_vy,FootPhysics_R_vz,FootPhysics_R_angle_x,FootPhysics_R_angle_y,FootPhysics_R_angle_z,FootPhysics_R_rel_avx,FootPhysics_R_rel_avy,FootPhysics_R_rel_avz,camera_offset_x,camera_offset_y,camera_offset_z,camera_distance
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5500003,2.13215256,-2.82050323,3.57824159
1,0.0199999929138322,2,0,0,0,0,0,-0.0403742231,0,0.0182626322,0,0,0,0,0,0,1,0.000807484146,-0.17405583,-0.0003652525,0,0,0,0.009857623,-0.1301699,-0.0007003928,0.024248179,-0.00183105469,0.05631886,0.0187213887,-0.002343124,0.0288325232,0.000854112,-0.17396529,-0.0252742171,-0.134613037,-0.006866455,0.00265029375,-0.127504051,-0.005644791,0.00179940776,0.000884377747,-0.17405583,-0.0260984879,-0.132141113,-0.00598144531,0.00275490549,-0.125954971,-0.004887905,0.00188739772,-6.423013E-05,-0.177589625,0.003823428,0.6381655,-0.00561523438,0.0022319206,0.5639726,-0.00528056035,0.002165905,-5.73790931E-05,-0.177677289,0.00381592615,0.6401472,-0.00491333,0.00228514173,0.5659156,-0.00464290846,0.00221556076,-8.97659047E-05,-0.214666039,0.08460981,0.495589942,-0.00341796875,0.0013098066,0.463403046,-0.0039628474,0.00157798454,-0.000108300992,-0.214778081,0.08477558,0.4957767,-0.00305175781,0.00129645923,0.463962018,-0.00356294122,0.0015696889,-0.550032139,2.13567233,2.738815,3.51635313
2,0.0399999858276644,3,0,0,0,0,0,-0.0129940361,0,0.09765431,0,0,0,0,0,0,1,0.000259880617,-0.351888359,-0.00195308554,0,0,0,0.000643655658,-0.3370413,-0.00436450867,0.03097205,10.7982035,0.01418988,0.00440500351,0.00164289214,0.009993357,-3.84952873E-05,-0.351839185,-0.0272479169,-0.28729248,10.7981682,7.58684E-05,-0.123708025,0.005619535,-0.000911578943,3.259722E-05,-0.351831317,-0.02622247,-0.289794922,10.80034,0.000142033387,-0.1237401,0.00646245945,-0.0008780127,0.000262778049,-0.350132644,0.0313427821,1.20368516,10.7957478,0.00230386248,0.6345971,0.00267455261,-0.000584099151,0.000313816185,-0.3501744,0.0311758444,1.20284259,10.7980471,0.00245925016,0.63159126,0.00395247433,-0.0005356819,8.617058E-05,-0.3878334,0.131433323,1.06553721,10.7935514,0.002609897,0.5168135,-0.0005656723,0.0009322051,-1.54817826E-07,-0.387876838,0.131162733,1.06541789,10.7957687,0.00266343378,0.516375363,0.0009890392,0.00102903857,-0.7405405,4.18816948,0.8193144,4.331332
3,0.059999978741496596,3,0,0,0,0,0,1.53623831,0,0.239058346,0,0,0,0,0,0,1,-0.0307247546,-0.5360413,-0.004781165,0,0,0,0.148989916,-0.532544434,-0.0174007211,0.07593763,8.208715,-1.01858521,0.0133826286,-1.19463742,0.152095541,0.243037984,-0.53884697,0.358912319,-1.28488159,13.1278868,0.5430066,2.446908,0.15125598,-2.217433,0.2861081,-0.5335279,-0.3834707,0.4800097,13.1478224,0.6410517,-2.787408,0.06609103,-1.92881632,0.0558948368,-0.5387435,0.143881008,0.257181168,12.6399717,1.00487947,-0.532797933,0.504358232,0.9262713,0.06848327,-0.52554667,-0.0227163285,3.20185471,12.6728811,1.215635,1.98426974,0.5020349,0.7303494,-0.113615751,-0.5084347,-0.005447343,0.644334853,11.9955406,0.845488131,-0.379719079,-0.00411345949,0.8382231,-0.137105137,-0.6196072,0.308209062,2.5638268,11.983079,1.02172673,1.55029666,-0.0214689318,0.7296331,-0.739614666,4.19887972,0.8196774,4.3416
4,0.0799999716553288,3,0,0,0,0,0,1.48315549,0,0.388382167,0,0,0,0,0,0,1,-0.0296630971,-0.726132,-0.00776764,0,0,0,0.105197921,-0.720697045,-0.001325829,0.0268438552,5.01371145,-0.967041,0.0399079658,-1.3583802,0.471307039,0.0697163939,-0.733631968,0.181702286,-1.33627319,12.3381,0.57045275,1.18725252,-1.09930015,-0.9015288,0.12129803,-0.730343044,-0.179431975,0.395426571,12.3430462,0.741717458,-1.26596689,-1.12865555,-0.841342449,0.114510059,-0.7160677,0.256011248,0.0389634632,12.3628359,0.9851439,0.308685571,-0.345644027,-0.06434776,0.1464301,-0.7113825,-0.09126036,4.46078444,12.4224253,1.33324659,0.884944439,-0.3322984,-0.06695974,0.04869274,-0.6715778,0.170692,0.126417622,12.5877848,1.12630391,-0.422701031,0.299251884,0.321818352,0.04540181,-0.791530669,0.179084733,4.136801,12.65745,1.50775,1.41652727,0.345947117,0.134409845,-0.738890767,4.21340275,0.8199658,4.355579
5,0.099999964569160993,3,0,0,0,0,0,1.2618171,0,0.4338432,0,0,0,0,0,0,1,-0.0252363328,-0.918678761,-0.00867686048,0,0,0,0.06863032,-0.910291,0.00333570875,0.02816584,3.37420559,-0.643341064,0.03732401,-0.915568948,0.430945635,0.0180039965,-0.92152673,0.08538187,-1.22506714,10.7045984,0.578085244,0.4591527,-1.603195,-0.295365661,0.0427539125,-0.9201557,-0.0853074342,0.2879545,10.7030869,0.7318709,-0.445092767,-1.60923791,-0.2832114,0.0774343759,-0.9166781,0.247579381,0.5192776,10.9315777,0.826799631,0.7368301,-1.32368159,-0.2721709,0.115339763,-0.9119163,-0.0573673323,5.183369,11.0004482,1.077157,0.434310824,-1.30063927,-0.2884367,0.1955555,-0.9281225,0.330378354,0.236649975,11.3823051,1.14694452,0.171780422,-1.15759015,-0.160738528,0.22908701,-0.95555234,0.0539731458,5.06480551,11.5208044,1.49669719,0.6683059,-1.104269,-0.32957387,-0.7383412,4.23177242,0.820171654,4.373297
6,0.11999995748299319,4,0,0,0,0,0,1.07088935,0,0.430768162,0,0,0,0,0,0,1,-0.021417778,-1.1136241,-0.00861536,0,0,0,0.05079694,-1.10512757,0.00263178325,0.0350277349,13.3545141,-0.364563,0.0255985074,-0.756584048,0.312446982,0.008767092,-1.114767,0.0538330451,-1.09335327,19.6627045,0.5618254,0.2047847,-1.62679255,-0.116131544,0.02567538,-1.1141094,-0.0423201,0.264361233,19.66191,0.6695076,-0.113617927,-1.62595057,-0.137258261,0.0629166,-1.113184,0.234650016,1.35529518,19.8202877,0.6481594,0.8627213,-1.67081237,-0.3102709,0.09611514,-1.11265671,-0.03830929,5.33897,19.8627777,0.7684223,0.041974958,-1.67222762,-0.265896916,0.23983705,-1.16257536,0.388092667,0.904272139,20.0474854,0.9977844,0.6198135,-1.81770313,-0.35141474,0.283650875,-1.12500656,-0.0145275593,5.32635069,20.11888,1.182369,0.112473875,-1.84127188,-0.415453523,-1.58769274,2.93290854,1.92706537,3.851792
7,0.13999995039682539,4,0,0,0,0,0,2.2967217,0,0.7606842,0,0,0,0,0,0,1,-0.0459344164,-1.31104493,-0.0152136777,0,0,0,0.166505367,-1.2988416,0.0159964282,0.07023693,10.6778812,-1.020874,0.05758398,-2.30180454,0.4348978,0.1515341,-1.32591128,0.427160859,-1.79092407,21.5524139,0.8773984,2.51270533,1.51998591,-2.28322721,0.3548185,-1.3190583,-0.3002905,0.966596961,21.5787373,1.19511712,-2.6695652,1.410867,-1.95476007,0.08332394,-1.30727541,0.3175009,0.7659353,21.2443066,1.20079267,-0.273752153,-1.85271215,0.548758745,0.159473687,-1.28686512,-0.0961487144,6.482467,21.3028889,1.79334819,1.16969478,-1.91749072,0.5519589,0.172801033,-1.2979604,0.230202481,0.795372546,20.875494,1.39518285,-0.0804027,-2.33945465,0.372005075,0.122363567,-1.32428777,0.08409614,6.16736269,20.80381,1.91666746,0.9598491,-2.47953558,0.4291941,-1.58653057,2.95913553,1.92771542,3.871647
8,0.15999994331065759,7,0,0,0,0,0,2.45269346,0,0.9210483,0,0,0,0,0,0,1,-0.0490538478,-1.508481,-0.0184209589,0,0,0,0.153895348,-1.485367,0.04018171,0.0259606615,5.308751,-0.942810059,0.0896568,-2.35144877,0.669979036,0.06700148,-1.5252912,0.343586743,-1.84460449,16.6845589,0.9436665,1.74468279,0.7311972,-1.5901407,0.2726233,-1.52022517,-0.194654793,1.28531182,16.71266,1.24788415,-1.76431119,0.64561677,-1.31300807,0.09970652,-1.50245559,0.420020372,0.5311182,16.9528923,1.30867493,0.213961765,-3.86949587,0.00759187341,0.2359917,-1.49384236,-0.176518217,6.93485737,17.0608063,1.9471209,0.4024214,-3.84531331,0.0402749181,0.277228,-1.47104239,0.343782127,0.389920354,17.585268,1.7160635,-0.267941415,-3.15670156,0.3694203,0.2825436,-1.5157007,-0.06574469,6.844514,17.7015438,2.42529559,0.6915463,-3.05013466,0.232504725,-1.58752108,2.93673444,1.92716122,3.85468316
9,0.17999993622448979,10,0,0,0,0,0,2.08007169,0,0.8127897,0,0,0,0,0,0,1,-0.0416014157,-1.70254338,-0.0162557866,0,0,0,0.105853662,-1.68223476,0.0393327735,0.06683037,2.788212,-0.463256836,0.09221761,-1.513861,0.5601173,0.0110685341,-1.7087636,0.1855942,-1.59567261,14.0405512,0.8729545,0.687335,-2.54437852,-0.5103816,0.117553458,-1.7068826,-0.09579445,1.31264138,14.0576668,1.13776553,-0.532351851,-2.54517961,-0.481139541,0.09592413,-1.70459855,0.406062871,1.09058928,14.2349787,1.01545656,0.702823341,-2.39424825,-0.4838197,0.243926585,-1.71223354,-0.190733045,6.71941233,14.3695583,1.46487415,-0.29211688,-2.33604527,-0.298511863,0.3416343,-1.72378147,0.5295695,0.573642433,14.5145912,1.51426148,0.167525142,-2.596977,-0.394722968,0.479802936,-1.71511388,-0.214670539,6.84261131,14.787447,2.08650661,-0.210850224,-2.432124,-0.419162154,-1.587524,2.93892527,1.92713261,3.85633945
