step,fixed_time,frame,input_x,input_y,desired_vx,desired_vy,desired_vz,target_ax,target_ay,target_az,applied_ax,applied_ay,applied_az,grounded,stepped,step_rise,full_rig_acceleration,Player_vx,Player_vy,Player_vz,Player_avx,Player_avy,Player_avz,ChestPhysics_vx,ChestPhysics_vy,ChestPhysics_vz,ChestPhysics_angle_x,ChestPhysics_angle_y,ChestPhysics_angle_z,ChestPhysics_rel_avx,ChestPhysics_rel_avy,ChestPhysics_rel_avz,ThighPhysics_L_vx,ThighPhysics_L_vy,ThighPhysics_L_vz,ThighPhysics_L_angle_x,ThighPhysics_L_angle_y,ThighPhysics_L_angle_z,ThighPhysics_L_rel_avx,ThighPhysics_L_rel_avy,ThighPhysics_L_rel_avz,ThighPhysics_R_vx,ThighPhysics_R_vy,ThighPhysics_R_vz,ThighPhysics_R_angle_x,ThighPhysics_R_angle_y,ThighPhysics_R_angle_z,ThighPhysics_R_rel_avx,ThighPhysics_R_rel_avy,ThighPhysics_R_rel_avz,ShinPhysics_L_vx,ShinPhysics_L_vy,ShinPhysics_L_vz,ShinPhysics_L_angle_x,ShinPhysics_L_angle_y,ShinPhysics_L_angle_z,ShinPhysics_L_rel_avx,ShinPhysics_L_rel_avy,ShinPhysics_L_rel_avz,ShinPhysics_R_vx,ShinPhysics_R_vy,ShinPhysics_R_vz,ShinPhysics_R_angle_x,ShinPhysics_R_angle_y,ShinPhysics_R_angle_z,ShinPhysics_R_rel_avx,ShinPhysics_R_rel_avy,ShinPhysics_R_rel_avz,FootPhysics_L_vx,FootPhysics_L_vy,FootPhysics_L_vz,FootPhysics_L_angle_x,FootPhysics_L_angle_y,FootPhysics_L_angle_z,FootPhysics_L_rel_avx,FootPhysics_L_rel_avy,FootPhysics_L_rel_avz,FootPhysics_R_vx,FootPhysics_R_vy,FootPhysics_R_vz,FootPhysics_R_angle_x,FootPhysics_R_angle_y,FootPhysics_R_angle_z,FootPhysics_R_rel_avx,FootPhysics_R_rel_avy,FootPhysics_R_rel_avz,camera_offset_x,camera_offset_y,camera_offset_z,camera_distance
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5500003,2.13215256,-2.82050323,3.57824159
1,0.0199999929138322,2,0,0,0,0,0,-0.0403742231,0,0.0182626322,0,0,0,0,0,0,1,0.000807484146,-0.17405583,-0.0003652525,0,0,0,0.009857623,-0.1301699,-0.0007003928,0.024248179,-0.00183105469,0.05631886,0.0187213887,-0.002343124,0.0288325232,0.000854112,-0.17396529,-0.0252742171,-0.134613037,-0.006866455,0.00265029375,-0.127504051,-0.005644791,0.00179940776,0.000884377747,-0.17405583,-0.0260984879,-0.132141113,-0.00598144531,0.00275490549,-0.125954971,-0.004887905,0.00188739772,-6.423013E-05,-0.177589625,0.003823428,0.6381655,-0.00561523438,0.0022319206,0.5639726,-0.00528056035,0.002165905,-5.73790931E-05,-0.177677289,0.00381592615,0.6401472,-0.00491333,0.00228514173,0.5659156,-0.00464290846,0.00221556076,-8.97659047E-05,-0.214666039,0.08460981,0.495589942,-0.00341796875,0.0013098066,0.463403046,-0.0039628474,0.00157798454,-0.000108300992,-0.214778081,0.08477558,0.4957767,-0.00305175781,0.00129645923,0.463962018,-0.00356294122,0.0015696889,-0.550032139,2.13567233,2.738815,3.51635313
2,0.0399999858276644,3,0,0,0,0,0,-0.0129940361,0,0.09765431,0,0,0,0,0,0,1,0.000259880617,-0.351888359,-0.00195308554,0,0,0,0.000643655658,-0.3370413,-0.00436450867,0.0309720468,9.718215,0.0141898785,0.00440500351,0.00164289214,0.009993357,-3.84952873E-05,-0.351839185,-0.0272479169,-0.28729248,9.71818,7.586508E-05,-0.123708025,0.005619535,-0.000911578943,3.259722E-05,-0.351831317,-0.02622247,-0.289794922,9.720351,0.000142031742,-0.1237401,0.00646245945,-0.0008780127,0.000262778049,-0.350132644,0.0313427821,1.20368493,9.715759,0.00230387645,0.6345971,0.00267455261,-0.000584099151,0.000313816185,-0.3501744,0.0311758444,1.202843,9.718059,0.002459263,0.63159126,0.00395247433,-0.0005356819,8.617058E-05,-0.3878334,0.131433323,1.0655371,9.713564,0.00260989717,0.5168135,-0.0005656723,0.0009322051,-1.54817826E-07,-0.387876838,0.131162733,1.065418,9.715779,0.0026634268,0.516375363,0.0009890392,0.00102903857,-0.894755661,3.42186332,1.96582365,4.0465045
3,0.059999978741496596,3,0,0,0,0,0,1.39901888,0,0.2291833,0,0,0,0,0,0,1,-0.0279803667,-0.5360491,-0.00458366424,0,0,0,0.136686668,-0.532265365,-0.0154443644,0.07095344,6.267065,-0.927520752,0.01314634,-1.0102185,0.135004178,0.222561687,-0.5385556,0.3240336,-1.20541382,10.4573059,0.4986978,2.202027,0.101857185,-1.98874784,0.258723229,-0.533759534,-0.3513764,0.4048183,10.4756155,0.581432641,-2.51003337,0.0253251418,-1.74544024,0.0504930653,-0.5380795,0.134885043,0.406355441,10.0312214,0.921602368,-0.430193484,0.406291664,0.8336855,0.0607269928,-0.5261128,-0.0155956857,3.07651782,10.0612211,1.093924,1.85438216,0.406035572,0.6728201,-0.102890238,-0.5141869,0.01049605,0.7443475,9.465386,0.776895165,-0.3004326,-0.0390642621,0.758346438,-0.122277848,-0.6148408,0.294736743,2.48141336,9.458962,0.9201044,1.44672084,-0.0510828644,0.6686233,-0.893911064,3.432574,1.96614766,4.05553675
4,0.0799999716553288,3,0,0,0,0,0,1.15048635,0,0.33818683,0,0,0,0,0,0,1,-0.0230097175,-0.7259297,-0.006763734,0,0,0,0.07822031,-0.7206681,-0.002427156,0.0347377919,4.169294,-0.778717041,0.0287066251,-0.9674486,0.387629151,0.0433020741,-0.7302631,0.117578641,-1.15219116,9.539021,0.480636477,0.7438222,-1.06011558,-0.536642969,0.07201886,-0.728236,-0.1276992,0.2359538,9.544981,0.591392457,-0.8106499,-1.074917,-0.510282,0.09819504,-0.717630863,0.226442516,0.4647679,9.642261,0.818515241,0.49045822,-0.4543916,-0.153659463,0.120521948,-0.715277135,-0.068161644,4.1323247,9.691029,1.03802,0.7187037,-0.438590825,-0.153641492,0.0580944121,-0.690473855,0.191125765,0.457044154,9.94489,0.9646367,-0.226552561,0.194563568,0.188517585,0.0613678545,-0.7868112,0.162634477,3.86125875,10.0135269,1.22245443,1.21136,0.242669076,0.04948032,-0.893368244,3.44709,1.96635449,4.067811
5,0.099999964569160993,3,0,0,0,0,0,0.9580129,0,0.378794879,0,0,0,0,0,0,1,-0.01916025,-0.9184994,-0.00757589471,0,0,0,0.049324058,-0.9116142,-0.000461993972,0.0380388871,3.122654,-0.5267639,0.0246591344,-0.6189445,0.321547627,0.0112709869,-0.9199945,0.0546160564,-1.05792236,8.17794,0.482828915,0.283307225,-1.2959286,-0.170839623,0.0242698267,-0.9191356,-0.06141884,0.135936722,8.180821,0.5748898,-0.27741158,-1.29899466,-0.166629225,0.0605565533,-0.9159312,0.2093941,1.04724312,8.37872,0.6714581,0.7578461,-1.147992,-0.23543781,0.08408226,-0.9123024,-0.0277222767,4.77101,8.426229,0.811674058,0.431316048,-1.13647246,-0.247034147,0.1754606,-0.93891114,0.316169918,0.7450065,8.753504,0.9527646,0.3242567,-1.09713626,-0.196009487,0.200177014,-0.950831056,0.06639485,4.655812,8.845927,1.15908289,0.576599538,-1.07535934,-0.30665648,-0.8929583,3.465454,1.96651876,4.083374
6,0.11999995748299319,3,0,0,0,0,0,0.8152259,0,0.389101267,0,0,0,0,0,0,1,-0.0163045116,-1.11367071,-0.00778202247,0,0,0,0.03595151,-1.105655,-0.00147362228,0.035811387,2.473031,-0.320068359,0.0154585484,-0.5863889,0.243155658,0.005378078,-1.1143434,0.03380838,-0.940856934,6.78124571,0.454871565,0.138363987,-1.2332418,-0.07534896,0.0143415965,-1.1139003,-0.03279063,0.0845546648,6.78384733,0.513850033,-0.0812268555,-1.2331903,-0.08760307,0.0526890568,-1.11160934,0.201622233,1.87495971,6.884624,0.503811061,0.8280266,-1.29296875,-0.258722782,0.07291742,-1.10991359,-0.0108702034,5.07230663,6.912155,0.5619689,0.217171088,-1.29496789,-0.241000026,0.1980992,-1.16057265,0.352748334,1.44906473,7.01783562,0.7874099,0.650083959,-1.45610714,-0.316158444,0.226058871,-1.12618732,0.0353770852,4.990991,7.057261,0.882035136,0.2232815,-1.47531891,-0.357991874,-0.892624855,3.4877224,1.9666636,4.10228634
7,0.13999995039682539,3,0,0,0,0,0,0.6861101,0,0.384167552,0,0,0,0,0,0,1,-0.0137221962,-1.3101691,-0.007683348,0,0,0,0.02677035,-1.29966235,-0.00202375418,0.0313535146,1.83798027,-0.152679443,0.01155499,-0.5401645,0.188523918,0.00751403067,-1.31053638,0.02546876,-0.8010559,5.545725,0.374545455,0.07658566,-1.09054208,-0.0561159626,0.0138152568,-1.31028342,-0.0135096777,0.07698568,5.54865074,0.399377,0.0289694741,-1.08768666,-0.07400214,0.05244083,-1.30619562,0.193114519,2.7678442,5.57102966,0.313784063,0.8049933,-1.12851954,-0.2549182,0.0696506351,-1.30968833,-0.00355782732,5.097687,5.583306,0.324182659,0.00396936,-1.12999725,-0.205643564,0.1746239,-1.35978246,0.356793731,2.30122137,5.54151726,0.5276746,0.753917158,-1.24148619,-0.329381,0.20033522,-1.3106612,0.007358106,5.010948,5.547077,0.5503127,-0.0114916191,-1.24965012,-0.301870823,-0.892348468,3.51392269,1.966802,4.124591
8,0.15999994331065759,3,0,0,0,0,0,0.562098,0,0.3655814,0,0,0,0,0,0,1,-0.0112419557,-1.50661266,-0.007311625,0,0,0,0.0199970584,-1.49465179,-0.002031147,0.027212562,1.27216172,-0.0195922852,0.00786121748,-0.474023461,0.143048644,0.0115107,-1.50689626,0.0242204014,-0.6592102,4.494771,0.260785371,0.0617986172,-0.926841557,-0.06495394,0.0160873383,-1.50669384,-0.008375231,0.083744444,4.498628,0.262906522,0.0509591661,-0.923399568,-0.07487366,0.0478648767,-1.50060606,0.1829848,3.63329482,4.492008,0.134474248,0.741069436,-0.930121243,-0.221841931,0.0625262,-1.50643754,-0.004303518,5.09057045,4.49881029,0.126726866,-0.0190555546,-0.9284784,-0.16874288,0.137157142,-1.55059791,0.3424651,3.1586895,4.41214,0.257908,0.753091753,-0.9649737,-0.280646443,0.161042809,-1.50319874,-0.00347442646,4.939817,4.413229,0.254801363,-0.06260744,-0.960646749,-0.226694942,-0.892123163,3.54405451,1.96693265,4.150305
9,0.17999993622448979,4,0,-1,-0.675357044,0,3.942574,-33.3244438,0,197.471024,0,0,0,0,0,0,1,-0.008868462,-1.70220435,-0.0068449243,0,0,0,0.0148057714,-1.69006848,-0.002211555,0.0239419434,0.7887257,0.08238656,0.00563869625,-0.400783718,0.104206681,0.0127826883,-1.70241761,0.0236495435,-0.519042969,3.6170342,0.136569142,0.05793204,-0.774057746,-0.06489493,0.0159734767,-1.70224464,-0.007721912,0.0823447555,3.62166548,0.129302651,0.048042167,-0.771266937,-0.06490318,0.0382591039,-1.69472992,0.171089649,4.43896151,3.60666943,-0.01763916,0.667812943,-0.7636683,-0.180445746,0.0511803143,-1.70204771,-0.00601735432,5.07333469,3.612486,-0.0246276855,-0.02225426,-0.761840165,-0.129994974,0.10122434,-1.73902583,0.319385469,3.96413469,3.52680373,0.0227409787,0.710938454,-0.762547851,-0.217122,0.12454088,-1.69796407,-0.0065809465,4.84085,3.53269053,0.0215394069,-0.06491616,-0.757211566,-0.159232408,-0.8946492,3.43369722,1.96585572,4.05650854
