step,fixed_time,frame,input_x,input_y,desired_vx,desired_vy,desired_vz,target_ax,target_ay,target_az,applied_ax,applied_ay,applied_az,grounded,stepped,step_rise,full_rig_acceleration,Player_vx,Player_vy,Player_vz,Player_avx,Player_avy,Player_avz,ChestPhysics_vx,ChestPhysics_vy,ChestPhysics_vz,ChestPhysics_angle_x,ChestPhysics_angle_y,ChestPhysics_angle_z,ChestPhysics_rel_avx,ChestPhysics_rel_avy,ChestPhysics_rel_avz,ThighPhysics_L_vx,ThighPhysics_L_vy,ThighPhysics_L_vz,ThighPhysics_L_angle_x,ThighPhysics_L_angle_y,ThighPhysics_L_angle_z,ThighPhysics_L_rel_avx,ThighPhysics_L_rel_avy,ThighPhysics_L_rel_avz,ThighPhysics_R_vx,ThighPhysics_R_vy,ThighPhysics_R_vz,ThighPhysics_R_angle_x,ThighPhysics_R_angle_y,ThighPhysics_R_angle_z,ThighPhysics_R_rel_avx,ThighPhysics_R_rel_avy,ThighPhysics_R_rel_avz,ShinPhysics_L_vx,ShinPhysics_L_vy,ShinPhysics_L_vz,ShinPhysics_L_angle_x,ShinPhysics_L_angle_y,ShinPhysics_L_angle_z,ShinPhysics_L_rel_avx,ShinPhysics_L_rel_avy,ShinPhysics_L_rel_avz,ShinPhysics_R_vx,ShinPhysics_R_vy,ShinPhysics_R_vz,ShinPhysics_R_angle_x,ShinPhysics_R_angle_y,ShinPhysics_R_angle_z,ShinPhysics_R_rel_avx,ShinPhysics_R_rel_avy,ShinPhysics_R_rel_avz,FootPhysics_L_vx,FootPhysics_L_vy,FootPhysics_L_vz,FootPhysics_L_angle_x,FootPhysics_L_angle_y,FootPhysics_L_angle_z,FootPhysics_L_rel_avx,FootPhysics_L_rel_avy,FootPhysics_L_rel_avz,FootPhysics_R_vx,FootPhysics_R_vy,FootPhysics_R_vz,FootPhysics_R_angle_x,FootPhysics_R_angle_y,FootPhysics_R_angle_z,FootPhysics_R_rel_avx,FootPhysics_R_rel_avy,FootPhysics_R_rel_avz,camera_offset_x,camera_offset_y,camera_offset_z,camera_distance
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5500003,2.13215256,-2.82050323,3.57824159
1,0.0199999929138322,2,0,0,0,0,0,-0.0403742231,0,0.0182626322,0,0,0,0,0,0,1,0.000807484146,-0.17405583,-0.0003652525,0,0,0,0.009857623,-0.1301699,-0.0007003928,0.024248179,-0.00183105469,0.05631886,0.0187213887,-0.002343124,0.0288325232,0.000854112,-0.17396529,-0.0252742171,-0.134613037,-0.006866455,0.00265029375,-0.127504051,-0.005644791,0.00179940776,0.000884377747,-0.17405583,-0.0260984879,-0.132141113,-0.00598144531,0.00275490549,-0.125954971,-0.004887905,0.00188739772,-6.423013E-05,-0.177589625,0.003823428,0.6381655,-0.00561523438,0.0022319206,0.5639726,-0.00528056035,0.002165905,-5.73790931E-05,-0.177677289,0.00381592615,0.6401472,-0.00491333,0.00228514173,0.5659156,-0.00464290846,0.00221556076,-8.97659047E-05,-0.214666039,0.08460981,0.495589942,-0.00341796875,0.0013098066,0.463403046,-0.0039628474,0.00157798454,-0.000108300992,-0.214778081,0.08477558,0.4957767,-0.00305175781,0.00129645923,0.463962018,-0.00356294122,0.0015696889,-0.550032139,2.13567233,2.738815,3.51635313
2,0.0399999858276644,3,0,1,-1.79351223,0,-3.575376,-89.68864,0,-178.671219,0,0,0,0,0,0,1,0.000259880617,-0.351888359,-0.00195308554,0,0,0,0.000643655658,-0.3370413,-0.00436450867,0.03097205,-10.8017883,0.0141898785,0.00440500351,0.00164289214,0.009993357,-3.84952873E-05,-0.351839185,-0.0272479169,-0.28729248,-10.8018188,7.58667447E-05,-0.123708025,0.005619535,-0.000911578943,3.259722E-05,-0.351831317,-0.02622247,-0.289794922,-10.7996521,0.0001420334,-0.1237401,0.00646245945,-0.0008780127,0.000262778049,-0.350132644,0.0313427821,1.20368516,-10.80423,0.00230386946,0.6345971,0.00267455261,-0.000584099151,0.000313816185,-0.3501744,0.0311758444,1.20284283,-10.8019409,0.00245924969,0.63159126,0.00395247433,-0.0005356819,8.617058E-05,-0.3878334,0.131433323,1.06553721,-10.806427,0.00260990346,0.5168135,-0.0005656723,0.0009322051,-1.54817826E-07,-0.387876838,0.131162733,1.06541777,-10.8041992,0.00266343378,0.516375363,0.0009890392,0.00102903857,0.218393326,3.866243,1.6620636,4.21402264
3,0.059999978741496596,3,0,1,-1.79351223,0,-3.575376,-91.16618,0,-178.497879,0,0,0,0,0,0,1,0.0298108347,-0.5363837,-0.00541969,0,0,0,-0.139069065,-0.5258738,0.0118564162,0.0494371,-17.5696716,0.9740199,-0.0576355271,1.19933438,-0.118724771,-0.2828968,-0.533908367,-0.368455738,0.4357199,-22.4933777,-0.628051758,-2.80003357,-0.1400048,1.97030592,-0.241286919,-0.5391247,0.3742981,-1.3343811,-22.4927063,-0.5398865,2.42692542,-0.0622758158,2.17158842,-0.06820112,-0.526053846,-0.0220577084,3.16413069,-22.00708,-1.21292114,1.94736445,-0.48141712,-0.7345698,-0.05480313,-0.539120436,0.144403845,0.220638961,-22.01944,-0.988433838,-0.569147348,-0.5125968,-0.9221505,0.1366645,-0.618861,0.304547,2.546705,-21.3068542,-1.02548218,1.5313406,0.05440706,-0.738221169,0.113604248,-0.5076054,-0.00893496,0.6286561,-21.3913574,-0.82598877,-0.399604619,-0.0133603672,-0.830718756,0.217404291,3.87696123,1.66196537,4.22376871
4,0.0799999716553288,3,0,1,-1.79351223,0,-3.575376,-92.2327,0,-178.167328,0,0,0,0,0,0,1,0.051141,-0.7269783,-0.0120308679,0,0,0,-0.184022576,-0.714269459,0.0355815254,-0.0594482422,-14.5223389,1.61651158,-0.08577837,2.84577274,-0.554164052,-0.37381202,-0.7394787,-0.3994317,0.925844967,-24.2798767,-1.19818115,-3.65085888,-2.39650035,2.472784,-0.203002274,-0.7485993,0.521003067,-2.115265,-24.2686462,-0.929962158,3.23410034,-2.20585275,2.84010124,-0.17403847,-0.694702,-0.140135825,5.37828,-24.2256165,-2.456604,1.92285621,2.542031,-0.527924061,-0.104278117,-0.709661841,0.340981662,-1.33929443,-24.1936951,-1.70956421,-0.613930345,2.50558376,-0.8202463,0.01512932,-0.808657169,0.275939345,4.81251955,-24.4527283,-2.61407471,2.34352016,1.93352187,-0.7747109,-0.0531609356,-0.602745533,0.0237342,-0.7354431,-24.5855713,-1.86752319,-1.02792692,1.850426,-1.25635374,0.215803653,3.891507,1.66195154,4.23703671
5,0.099999964569160993,3,0,1,-1.79351223,0,-3.575376,-92.5856,0,-177.890854,0,0,0,0,0,0,1,0.0581990443,-0.921511531,-0.0175605677,0,0,0,-0.162754044,-0.8951574,0.0488416068,-0.179656982,-7.440796,1.49612677,-0.0009204149,2.98183537,-0.731101036,-0.2895009,-0.938699,-0.257618785,1.18089783,-18.0083923,-1.4526062,-2.55989838,-1.55544317,1.726855,-0.06874761,-0.946588755,0.42441082,-2.29165649,-17.9859619,-1.23403931,2.39520288,-1.3605119,2.00320721,-0.225440308,-0.892611444,-0.186317325,6.855275,-18.5591125,-2.7578125,0.9812875,5.10699654,-0.00365006924,-0.0898378938,-0.9042897,0.449321449,-2.11724854,-18.43039,-2.08752441,0.112250268,5.14634562,-0.2521341,-0.3344111,-0.9640204,0.06500669,6.725832,-19.75772,-3.55065918,1.63885331,4.419699,-0.04490769,-0.365720868,-0.8096378,0.2643839,-1.86734009,-19.6728516,-2.72610474,-0.781109869,4.53633976,-0.8213593,0.214211509,3.90995073,1.66217208,4.25398827
6,0.11999995748299319,3,0,1,-1.79351223,0,-3.575376,-92.34164,0,-177.8877,0,0,0,0,0,0,1,0.0533198,-1.1148845,-0.01762378,0,0,0,-0.124358818,-1.09076631,0.03628272,-0.1350708,-3.622406,0.845543,0.08324024,2.16938424,-0.656060934,-0.127578571,-1.12189817,-0.117030129,1.27022409,-15.4660339,-1.52920532,-0.8024707,1.47241879,0.6307275,0.0075814575,-1.1258229,0.229541674,-2.072937,-15.4341125,-1.3321228,1.02166426,1.26933932,0.6865636,-0.282747447,-1.120336,-0.184777379,6.840673,-15.7592773,-2.20529175,-0.183614045,2.4019022,0.3720563,-0.124826565,-1.12035048,0.453924358,-1.73220825,-15.5450745,-1.79916382,0.7355641,2.53469825,0.538093567,-0.580812454,-1.14146066,-0.165319324,7.17503548,-16.1516418,-3.14465332,0.012417078,2.85131884,0.69038707,-0.47636047,-1.11805642,0.540065646,-2.041809,-15.8041382,-2.656433,-0.1476008,3.15745878,0.3933689,0.213020757,3.93225384,1.662533,4.27457762
7,0.13999995039682539,3,0,1,-1.79351223,0,-3.575376,-91.95667,0,-177.9922,0,0,0,0,0,0,1,0.04562043,-1.30969381,-0.0155334529,0,0,0,-0.09478402,-1.29509425,0.0229021832,-0.0206604,-1.90802,0.275787324,0.102614239,1.59569323,-0.4353332,-0.08600859,-1.31237221,-0.07982223,1.27233922,-12.4737854,-1.35672,-0.247698665,2.63289738,0.304221362,-0.008197343,-1.31374907,0.13604781,-1.7883606,-12.4534912,-1.24966431,0.3809664,2.65568137,0.293216765,-0.283226818,-1.32601333,-0.187186688,6.471965,-12.785553,-1.44073486,-0.453824759,2.58308625,0.5129716,-0.140060484,-1.32345462,0.419876367,-0.676635742,-12.6229553,-1.28536987,1.04950988,2.6154027,0.721425653,-0.6232219,-1.31987119,-0.240045935,6.8602314,-13.0681763,-2.28594971,-0.573052645,2.63340521,0.7720969,-0.43732664,-1.39282811,0.664375544,-1.320343,-12.79245,-2.06082153,0.599314332,2.68877387,0.8240459,0.212115079,3.95844436,1.662898,4.29877949
8,0.15999994331065759,3,0,1,-1.79351223,0,-3.575376,-91.5182343,0,-178.092758,0,0,0,0,0,0,1,0.0368517637,-1.50665057,-0.0135224648,0,0,0,-0.0608278252,-1.48961449,0.01250735,0.0727639943,-0.294891357,-0.16217041,0.08487788,1.36072874,-0.276280522,-0.0567358024,-1.50752342,-0.0609913543,1.05781114,-9.865082,-0.9821167,-0.07115122,2.307656,0.138488054,-0.01861623,-1.50782871,0.07540395,-1.44107056,-9.837128,-0.9690552,0.0577903725,2.32515144,0.156133041,-0.253881931,-1.52368,-0.183858529,5.961202,-10.0203552,-0.7284241,-0.549201,2.33403516,0.498740256,-0.127989873,-1.51713,0.383706123,0.6942515,-9.91803,-0.730896,1.16133153,2.34848571,0.7343121,-0.5740165,-1.49848163,-0.236261547,6.229341,-10.0340881,-1.345581,-0.7247266,2.50805879,0.694340348,-0.369945079,-1.61157846,0.6894453,-0.0687561,-9.887726,-1.32067871,1.0221777,2.50510645,0.885735869,0.211413026,3.98857379,1.663214,4.3266263
9,0.17999993622448979,3,0,1,-1.79351223,0,-3.575376,-91.14003,0,-178.147217,0,0,0,0,0,0,1,0.0292876586,-1.70267129,-0.0124329505,0,0,0,-0.0408632457,-1.684951,0.00664006174,0.159362108,1.056777,-0.475219727,0.07087469,1.10730231,-0.170095563,-0.0597212538,-1.70333552,-0.0590865761,0.757693648,-7.685089,-0.607666,-0.08582793,1.93473,0.1084252,-0.02718711,-1.70332277,0.06507807,-1.1512146,-7.64459229,-0.6166992,-0.007843547,1.94306231,0.16174525,-0.215049624,-1.71365809,-0.164474756,5.47875547,-7.730438,-0.21194458,-0.4244272,1.941647,0.387530029,-0.105922304,-1.70485842,0.345762253,2.035215,-7.652893,-0.214355469,1.07035959,1.9564569,0.625271559,-0.465806484,-1.68188691,-0.203368425,5.525847,-7.579956,-0.5643616,-0.667057931,2.049724,0.5137123,-0.2781862,-1.79500282,0.6485169,1.30530691,-7.49093628,-0.554443359,1.12150383,2.05574155,0.7908356,0.2108648,4.022628,1.66350424,4.35812426
