step,fixed_time,frame,input_x,input_y,desired_vx,desired_vy,desired_vz,target_ax,target_ay,target_az,applied_ax,applied_ay,applied_az,grounded,stepped,step_rise,Player_vx,Player_vy,Player_vz,Player_avx,Player_avy,Player_avz,ChestPhysics_vx,ChestPhysics_vy,ChestPhysics_vz,ChestPhysics_angle_x,ChestPhysics_angle_y,ChestPhysics_angle_z,ChestPhysics_rel_avx,ChestPhysics_rel_avy,ChestPhysics_rel_avz,ThighPhysics_L_vx,ThighPhysics_L_vy,ThighPhysics_L_vz,ThighPhysics_L_angle_x,ThighPhysics_L_angle_y,ThighPhysics_L_angle_z,ThighPhysics_L_rel_avx,ThighPhysics_L_rel_avy,ThighPhysics_L_rel_avz,ThighPhysics_R_vx,ThighPhysics_R_vy,ThighPhysics_R_vz,ThighPhysics_R_angle_x,ThighPhysics_R_angle_y,ThighPhysics_R_angle_z,ThighPhysics_R_rel_avx,ThighPhysics_R_rel_avy,ThighPhysics_R_rel_avz,ShinPhysics_L_vx,ShinPhysics_L_vy,ShinPhysics_L_vz,ShinPhysics_L_angle_x,ShinPhysics_L_angle_y,ShinPhysics_L_angle_z,ShinPhysics_L_rel_avx,ShinPhysics_L_rel_avy,ShinPhysics_L_rel_avz,ShinPhysics_R_vx,ShinPhysics_R_vy,ShinPhysics_R_vz,ShinPhysics_R_angle_x,ShinPhysics_R_angle_y,ShinPhysics_R_angle_z,ShinPhysics_R_rel_avx,ShinPhysics_R_rel_avy,ShinPhysics_R_rel_avz,FootPhysics_L_vx,FootPhysics_L_vy,FootPhysics_L_vz,FootPhysics_L_angle_x,FootPhysics_L_angle_y,FootPhysics_L_angle_z,FootPhysics_L_rel_avx,FootPhysics_L_rel_avy,FootPhysics_L_rel_avz,FootPhysics_R_vx,FootPhysics_R_vy,FootPhysics_R_vz,FootPhysics_R_angle_x,FootPhysics_R_angle_y,FootPhysics_R_angle_z,FootPhysics_R_rel_avx,FootPhysics_R_rel_avy,FootPhysics_R_rel_avz,camera_offset_x,camera_offset_y,camera_offset_z,camera_distance
10,0.19999992913832199,8,0,0,0,0,0,0.00310199661,0,0.298252463,0,0,0,0,0,0,-6.203991E-05,-1.89652383,-0.005965047,0,0,0,0.003227801,-1.88544416,-0.005462415,-0.00329589844,0.00307471072,-0.007537842,0.0006130219,8.30427743E-05,0.03412139,-8.662318E-05,-1.896627,0.0175618343,-0.08758545,-0.0004272461,-0.00128173828,0.116810352,-0.00157699757,0.000938942656,-0.000121586243,-1.89661789,0.0174644422,-0.0868835449,0.0005395006,-0.00161743164,0.117837593,-0.00248168176,0.00087759993,-0.00047703844,-1.89423788,0.07424636,5.05796528,-0.000305175781,-0.00183105469,0.148170978,-0.00133658689,0.000879618863,-0.000511243765,-1.89421952,0.074253045,5.05821943,0.000577222,-0.00225830078,0.148267344,-0.00249301177,0.0008471548,-0.0006436013,-1.90360117,0.104997873,4.74396658,-0.000335693359,-0.00305175781,0.16518271,-0.00118294638,0.001151307,-0.0005839514,-1.90356469,0.104996681,4.74154425,0.0005475105,-0.00335693359,0.165100649,-0.00247741072,0.00105430838,-0.5500155,2.14512253,2.73885155,3.52212667
11,0.21999992205215418,9,0,0,0,0,0,-0.00238683,0,0.240550488,0,0,0,0,0,0,4.77365829E-05,-2.089481,-0.004811008,0,0,0,0.00273374957,-2.07949424,-0.00463599851,-0.0046081543,0.002726648,0.005546431,0.00221370277,-0.000311530166,0.0268401261,-2.1306776E-05,-2.08951879,0.0149730109,0.037248414,-0.00170898438,-0.000762939453,0.09811797,-0.00131840014,0.0011483772,-4.66812853E-05,-2.08951116,0.0148969367,0.0378980339,-0.00189208984,-0.00100708008,0.09920686,-0.00208887784,0.00102736393,-0.0004287873,-2.087643,0.05657231,5.18091774,-0.00152587891,-0.0007324219,0.107146844,-0.00109072542,0.0009132528,-0.0004730725,-2.08763123,0.0565817878,5.1813,-0.00192260742,-0.00112915039,0.107179821,-0.00218227017,0.000943093968,-0.000616928446,-2.09395814,0.07641313,4.85070562,-0.00134277344,-0.00177001953,0.113089144,-0.000975798757,0.00123509252,-0.000581916654,-2.0939362,0.0764286146,4.8479,-0.001953125,-0.00213623047,0.11309921,-0.00221778126,0.00119076972,-0.5500161,2.133787,2.73881388,3.515205
12,0.23999991496598638,12,0,0,0,0,0,-0.00642205542,0,0.186032742,0,0,0,0,0,0,0.000128441054,-2.28101277,-0.00372065324,0,0,0,0.00219526654,-2.27238345,-0.00381998857,-0.003967285,0.00220933254,0.0165032055,0.00333477766,-0.000507827848,0.02023522,3.22004926E-05,-2.28101063,0.0111957528,0.13485229,-0.00256347656,-0.000152587891,0.0738903,-0.0009504589,0.00118565268,1.45755221E-05,-2.281003,0.0111517878,0.135399178,-0.003692627,-0.000335693359,0.07493336,-0.00152127084,0.00104165787,-0.0003507157,-2.27957058,0.0403620228,5.26523161,-0.00234985352,0.000283133471,0.07388459,-0.0007629987,0.0008594853,-0.000393450726,-2.279568,0.04038142,5.26555872,-0.00372314453,-6.10351563E-05,0.07386946,-0.00160028716,0.0009172595,-0.000528251054,-2.283571,0.0524440855,4.90704536,-0.00207519531,-0.0004272461,0.0740070045,-0.0007284318,0.00113525265,-0.000527269847,-2.28355575,0.0524449572,4.90372849,-0.00372314453,-0.0008544922,0.07391617,-0.0016063822,0.00115991256,-0.5500164,2.13734841,2.73881865,3.51737165
13,0.25999990787981858,15,0,0,0,0,0,-0.009060739,0,0.1382365,0,0,0,0,0,0,0.000181214709,-2.4711833,-0.00276472862,0,0,0,0.00164740742,-2.46395421,-0.00306824269,-0.00192260742,0.00162116229,0.0247560274,0.004005855,-0.0005717771,0.0144938473,8.007299E-05,-2.471168,0.00750743225,0.205001548,-0.00302124023,0.000460265815,0.05080594,-0.0005906315,0.00108599139,6.636814E-05,-2.47115922,0.00747768534,0.205409229,-0.00482177734,0.0003234909,0.0516660549,-0.0009652746,0.000948508037,-0.000251276972,-2.470094,0.0263484418,5.31806326,-0.00280761719,0.0011643687,0.04650814,-0.000431192457,0.000748391962,-0.000291230448,-2.470084,0.0263681673,5.318498,-0.00482177734,0.0009077145,0.04648615,-0.00101281516,0.0008175761,-0.0004096238,-2.47223186,0.0323518962,4.922243,-0.00250244141,0.0008020837,0.0429078862,-0.000435105379,0.000959038036,-0.0004337242,-2.47221661,0.03236898,4.918544,-0.004760742,0.000412641384,0.0429537,-0.0009859854,0.00103302638,-0.5500165,2.13863277,2.73881769,3.51815152
14,0.27999990079365078,15,0,0,0,0,0,-0.0105140833,0,0.09803147,-0.0105140833,0,0.09803147,1,0,0,0.000210281578,-2.66009426,-0.00196062867,0,0,0,0.00112465071,-2.654161,-0.00239914726,0.00100220076,0.00102508487,0.03017148,0.004298199,-0.000557374151,0.009683875,0.000118878874,-2.66008162,0.00428970531,0.25072673,-0.00317382813,0.00100252056,0.0308288485,-0.0002912602,0.0009155898,0.000108107117,-2.66007161,0.004275253,0.251021028,-0.005432129,0.0009194869,0.0315210819,-0.000498089532,0.00079268805,-0.00014362816,-2.65930676,0.01466776,5.345338,-0.0029296875,0.00186220149,0.024216162,-0.000152480934,0.0005943557,-0.000181357624,-2.65929985,0.0146913482,5.345738,-0.00537109375,0.00169427611,0.02419812,-0.0005259793,0.00067183905,-0.000275404716,-2.65995622,0.0158336572,4.903532,-0.0026550293,0.00185020443,0.0182166789,-0.000164844969,0.0007416679,-0.000313921715,-2.659937,0.0158394687,4.899341,-0.00524902344,0.00151890633,0.0182027966,-0.0004899453,0.0008387269,-0.5500206,2.191836,2.73885822,3.55077624
15,0.299999893707483,16,0,0,0,0,0,-0.0013384585,0,-0.0251779519,-0.0013384585,0,-0.0251779519,1,0,0,2.676916E-05,-2.847854,0.00050355884,0,0,0,0.000515549269,-2.84305787,-0.0004898283,0.00734900171,0.000406956446,0.0332339555,0.006701108,-0.0005473928,0.00601904141,-5.525122E-06,-2.847854,0.00307042315,0.273520023,-0.00317382813,0.00119615381,0.0124993147,-0.000115831353,0.0005237736,-1.2088487E-05,-2.84784245,0.003055157,0.273737,-0.005645752,0.00116144354,0.0130292447,-0.000166323764,0.0004189902,-6.00791464E-05,-2.84736347,0.00543152541,5.348698,-0.00289917,0.00195261417,0.00332669471,4.607576E-05,8.142697E-05,-9.205998E-05,-2.84735,0.005449686,5.34915257,-0.00546264648,0.00188146532,0.0033263478,-0.000128497166,0.000161187942,-9.303969E-05,-2.84672427,0.00220346078,4.85484362,-0.00250244141,0.0023369696,-0.00329410727,9.171573E-05,0.000193354543,-0.000140073,-2.84670067,0.00221031532,4.85021973,-0.005218506,0.002096907,-0.003223042,-2.67247087E-05,0.00030639887,-0.550016165,2.14596319,2.738808,3.5226047
16,0.31999988662131518,16,0,0,0,0,0,-0.000271297962,0,-0.0248531625,-0.000271297962,0,-0.0248531625,1,0,0,5.425957E-06,-3.03456759,0.00049706304,0,0,0,8.395038E-05,-3.030719,-0.000234021136,0.0117044691,-0.000122070313,0.0339383967,0.004990671,-0.0004447743,0.002876231,-1.117128E-05,-3.03458,0.0006634705,0.281158835,-0.00299072266,0.001305805,0.000592229655,5.42492271E-05,0.0003590811,-1.9655623E-05,-3.03456664,0.0006625699,0.281319737,-0.005584717,0.00131839269,0.00101763452,8.610696E-05,0.0002840133,-1.52259563E-05,-3.03420377,-0.00156774372,5.33841848,-0.00277709961,0.0018961567,-0.00868874,0.000107201762,-4.032934E-05,-4.31496737E-05,-3.03419685,-0.00155479368,5.338749,-0.005432129,0.0019008466,-0.008720701,3.603002E-05,2.30158421E-05,1.43608195E-05,-3.03269958,-0.00758670829,4.784436,-0.002532959,0.002451122,-0.0169482064,-9.463787E-06,-0.00011808554,-2.85471615E-05,-3.03268027,-0.00760912057,4.779222,-0.00524902344,0.0023018776,-0.0169839412,-4.40852964E-05,-2.192801E-05,-0.5500162,2.20665574,2.73879862,3.55989671
17,0.33999987953514738,16,0,0,0,0,0,-0.0001034366,0,-0.00563309668,-0.0001034366,0,-0.00563309668,1,0,0,2.06873119E-06,0,0.000112661888,0,0,0,-0.003015426,0.7623811,0.013651181,-0.150726318,0.01408235,0.104988925,-0.121940926,0.014479124,0.100990027,-0.00388442772,1.05447626,0.0329375379,0.494593859,0.0219519343,0.016975997,0.1706564,0.0219805036,0.0139910486,-0.00417183433,1.0533278,0.0351736881,0.4842675,0.0171134155,0.0169335473,0.164598435,0.0200613234,0.0140362279,-0.0144362245,1.01454616,0.09187808,5.43569756,0.098223716,0.034316577,0.134092122,0.0562247075,0.02932576,-0.0146336388,1.00982451,0.0925226,5.434817,0.09337561,0.033763662,0.130626172,0.0547417141,0.02899026,0.0155150294,0.2522502,-0.0346225947,0.6173378,0.160914987,-0.231201172,3.09341526,-0.04502563,0.87786,0.0154426834,0.252111673,-0.0346210338,0.6118363,0.1581071,-0.2364502,3.089687,-0.04488623,0.874753058,-0.550015032,2.18518877,2.738798,3.54662943
18,0.35999987244897957,17,0,0,0,0,0,-0.006519246,0,-0.003218035,-0.006519246,0,-0.003218035,1,0,0,0.000130384869,-1.49011612E-08,6.43606763E-05,0,0,0,0.0238445,0.480885178,0.0127701238,-0.162384033,0.0205082912,0.15369463,0.01147876,0.000463075936,0.032526914,-0.000206617173,0.231739342,0.00195414945,0.496088535,0.0176700074,0.0294222869,0.004008797,-0.0102240033,0.007461626,-0.000113751274,0.2332272,0.00026293844,0.4971943,0.0130259814,0.02999443,0.00357062812,-0.010348836,0.00695467368,-0.005001191,0.290474236,0.0440483168,5.627111,0.0290995538,0.0492531024,0.138028219,-0.0349126533,0.0107151605,-0.005217091,0.295174241,0.0440297164,5.62854958,0.0242513642,0.04991853,0.1386953,-0.0354071259,0.0116367228,0.000860874541,0.288324356,0.06677897,1.61548328,0.0417701975,-0.063079834,1.466841,-0.09400882,-0.179634914,0.000615537167,0.292198956,0.06776732,1.6195209,0.0364048854,-0.064453125,1.522693,-0.09561539,-0.1917765,-0.550016761,2.12932658,2.73880982,3.51249623
19,0.37999986536281177,17,0,0,0,0,0,0.00217912975,0,-0.00289157149,0.00217912975,0,-0.00289157149,1,0,0,-4.358258E-05,-1.49011612E-08,5.78314066E-05,0,0,0,-0.009508427,0.08945465,0.00275050476,-0.1722107,0.0104367789,0.168497771,0.00203650212,-0.009923271,0.0131252874,-0.000193585089,0.0455072746,0.009704095,0.555302739,0.00275770342,0.03478525,0.0429026522,-0.0105921887,0.0032376477,-0.00023496995,0.0456007645,0.008256643,0.55791533,-0.002532959,0.0354150981,0.0435354449,-0.0110310018,0.00305170845,-0.000219509,0.0499083474,0.0238189045,5.66537237,0.0101413364,0.0489637777,0.0292158835,-0.01327778,-0.0009290513,-0.000259774737,0.04988943,0.023634227,5.6720295,0.004868284,0.0497046746,0.0326840132,-0.0136946682,-0.0009209133,0.0007410408,0.0330864266,0.0130061135,1.46797168,0.03313551,-0.0297851563,0.281757444,-0.001802519,0.00565462839,0.0006795302,0.0329722874,0.0138431676,1.46943223,0.0278030261,-0.03112793,0.280528247,-0.00189439952,0.00598347373,-0.550016761,2.1284678,2.73880744,3.51197386
